    Updating crates.io index
 Downloading crates ...
  Downloaded iana-time-zone v0.1.61
  Downloaded num-traits v0.2.19
  Downloaded chrono v0.4.38
   Compiling num-traits v0.2.19
   Compiling iana-time-zone v0.1.61
   Compiling mtdynamic v0.1.0 (/home/jaaldering/mtdynamic)
   Compiling chrono v0.4.38
    Finished `release` profile [optimized] target(s) in 5.66s
     Running `target/release/examples/adapt_fast true`
size,pin,threads,runtime,usertime,energy
500,false,16,0.04733823,0.72689647,1.99718700
500,false,16,0.04722808,0.73280352,1.99731000
500,false,16,0.04740417,0.73293253,1.99077900
500,false,16,0.04725662,0.73344256,1.99731000
500,false,16,0.04706890,0.73153776,1.99584400
500,false,16,0.04728102,0.73230741,1.98467500
500,false,16,0.04714395,0.73193234,1.99322000
500,false,16,0.04738426,0.73291007,1.98961900
500,false,16,0.04710631,0.73320383,2.00689200
500,false,16,0.04705633,0.72953947,1.98784900
500,false,16,0.04703416,0.73051255,1.99175500
500,false,16,0.04732384,0.73300072,1.99578300
500,false,16,0.04709139,0.73194136,1.99657700
500,false,16,0.04702728,0.73149956,1.99798100
500,false,16,0.04709026,0.73111281,1.98766600
500,false,16,0.04705150,0.73093114,1.99401300
500,false,16,0.04721351,0.73246703,1.97075900
500,false,16,0.04726470,0.73186966,1.99877400
500,false,16,0.04719863,0.73098571,1.99340400
500,false,16,0.04703221,0.73124771,1.97167400
500,false,8,0.07298605,0.57164132,2.37517700
500,false,8,0.06067923,0.47801517,2.22521400
500,false,8,0.05576450,0.43559339,2.15313200
500,false,8,0.05543729,0.43500659,2.15014100
500,false,8,0.05552620,0.43502279,2.15520700
500,false,8,0.05555364,0.43515963,2.14721100
500,false,8,0.05551234,0.43514950,2.15117900
500,false,8,0.05570243,0.43520433,2.16668200
500,false,8,0.05549503,0.43504639,2.17327300
500,false,8,0.05533106,0.43470256,2.15484100
500,false,8,0.05552207,0.43508202,2.17040500
500,false,8,0.05560506,0.43536871,2.15728200
500,false,8,0.05540619,0.43483970,2.15075200
500,false,8,0.05546480,0.43491992,2.14654000
500,false,8,0.05561099,0.43517335,2.15410800
500,false,8,0.05543828,0.43483303,2.17095400
500,false,8,0.05547592,0.43493420,2.15001800
500,false,8,0.05561824,0.43539728,2.17009900
500,false,8,0.05559562,0.43507594,2.14593000
500,false,8,0.05554587,0.43516215,2.15215500
500,false,12,0.05186692,0.60109016,2.10772200
500,false,12,0.05149147,0.59819089,2.10808800
500,false,12,0.05093459,0.59727984,2.07903500
500,false,12,0.05115001,0.59803474,2.07940200
500,false,12,0.05164618,0.59913872,2.06975800
500,false,12,0.05103759,0.59813373,2.05077600
500,false,12,0.05134428,0.59928883,2.07049000
500,false,12,0.05082661,0.59831541,2.07805900
500,false,12,0.05173749,0.59967659,2.08495600
500,false,12,0.05172318,0.60052392,2.08330800
500,false,12,0.05098970,0.59719932,2.10198500
500,false,12,0.05117988,0.59906646,2.06731700
500,false,12,0.05099595,0.59854109,2.09118200
500,false,12,0.05088306,0.59693767,2.07378600
