size,pin,threads,runtime,usertime,energy
500,false,16,0.04724944,0.73037376,2.03936300
500,false,16,0.04696420,0.73034412,2.00664700
500,false,16,0.04705865,0.73127776,2.00457300
500,false,16,0.04714115,0.73056544,2.00731900
500,false,16,0.04696882,0.73007772,2.02593500
500,false,16,0.04698981,0.73061834,2.00213100
500,false,16,0.04716449,0.73153752,2.01012600
500,false,16,0.04714867,0.73142741,2.01067600
500,false,16,0.04698557,0.72954690,2.00243700
500,false,16,0.04699769,0.72978254,2.00341200
500,false,8,0.07010227,0.54200815,2.38903200
500,false,8,0.06893169,0.54361293,2.32006200
500,false,8,0.08104134,0.54120612,2.51165100
500,false,8,0.06888259,0.54392266,2.31145700
500,false,8,0.07477990,0.52785458,2.46038200
500,false,8,0.05836591,0.45855306,2.23693200
500,false,8,0.05649708,0.44357401,2.26311700
500,false,8,0.05554624,0.43603793,2.21959900
500,false,8,0.05562189,0.43576627,2.17644700
500,false,8,0.05560307,0.43564072,2.19542900
500,false,12,0.05182364,0.59717673,2.13549200
500,false,12,0.05133479,0.59782819,2.09533200
500,false,12,0.05074127,0.59685439,2.11162800
500,false,12,0.05082979,0.59634186,2.10991900
500,false,12,0.05123308,0.59688614,2.11083400
500,false,12,0.05089755,0.59647982,2.09795600
500,false,12,0.05066221,0.59576592,2.11211600
500,false,12,0.05448824,0.59500724,2.16247000
500,false,12,0.05080054,0.59641632,2.10302200
500,false,12,0.05080689,0.59568900,2.07531200
500,false,14,0.04966594,0.66585699,2.08575000
500,false,14,0.04925736,0.66808650,2.08831200
500,false,14,0.04947465,0.66974905,2.04918900
500,false,14,0.04909678,0.66933765,2.05987000
500,false,14,0.04895459,0.66833938,2.06273900
500,false,14,0.04882687,0.66753830,2.05053200
500,false,14,0.04917195,0.66893458,2.06096900
500,false,14,0.04902466,0.66900787,2.06109100
500,false,14,0.04902430,0.66816665,2.08745800
500,false,14,0.04915649,0.66888910,2.06365400
500,false,15,0.04890221,0.69177778,2.07476300
500,false,15,0.04745189,0.69802511,2.05480400
500,false,15,0.04755678,0.69909694,2.00835700
500,false,15,0.04769756,0.69829520,2.05321700
500,false,15,0.04782246,0.69823453,2.06280000
500,false,15,0.04778205,0.69825829,2.04644300
500,false,15,0.04791015,0.69803441,2.04070500
500,false,15,0.04803668,0.69783465,2.05218000
500,false,15,0.04779666,0.69874212,2.05346100
500,false,15,0.04795204,0.69949253,2.04717500
500,false,16,0.04749813,0.72617979,2.09899400
500,false,16,0.04711108,0.73154396,2.02495800
500,false,16,0.04710955,0.73076007,2.03893500
500,false,16,0.04721039,0.73194721,2.00811300
500,false,16,0.04730776,0.73197138,2.05315600
500,false,16,0.04695174,0.73094511,2.00652600
500,false,16,0.04719574,0.73260380,2.02019700
500,false,16,0.04700010,0.73125972,2.01580300
500,false,16,0.04721431,0.73239388,2.01769500
500,false,16,0.04721724,0.73184731,2.01855000
500,false,16,0.04707872,0.73125229,2.04271900
500,false,16,0.04712086,0.73178047,2.01769500
500,false,16,0.04700480,0.73211485,2.02434800
500,false,16,0.04697344,0.73107869,2.02251700
500,false,16,0.04707704,0.73091295,2.01439900
500,false,16,0.04729513,0.73303518,2.04943300
500,false,16,0.04696334,0.73045819,2.01806200
500,false,16,0.04695868,0.73055243,2.02611700
500,false,16,0.04712429,0.73193592,2.01720700
500,false,16,0.04717092,0.73095257,2.01464300
500,false,16,0.04708528,0.73083502,2.01275200
500,false,16,0.04718810,0.73063014,2.00091000
500,false,16,0.04710793,0.73166538,2.00951700
500,false,16,0.04710822,0.73097462,2.02715500
500,false,16,0.04712487,0.73253469,2.00854000
500,false,16,0.04700591,0.73106936,2.05791700
500,false,16,0.04716372,0.73094698,2.01702400
500,false,16,0.04720750,0.73330831,2.03777500
500,false,16,0.04695122,0.73092315,2.02111300
500,false,16,0.04721597,0.73210782,2.01433800
500,false,16,0.04713217,0.73167914,2.05749000
500,false,16,0.04714408,0.73200897,1.98186800
500,false,16,0.04703097,0.73132971,2.05950400
500,false,16,0.04713390,0.73200123,2.01598600
500,false,16,0.04717907,0.73355533,2.02739900
500,false,16,0.04724214,0.73195735,2.04455100
500,false,16,0.04697900,0.73104796,2.02251700
500,false,16,0.04711325,0.73033835,2.04534400
500,false,16,0.04712388,0.73221720,2.02477500
500,false,16,0.04718246,0.73261953,2.00231400
500,false,16,0.04705570,0.73095974,2.04833400
500,false,16,0.04704113,0.73144722,2.03814200
500,false,16,0.04708948,0.73160540,2.01262900
500,false,16,0.04718691,0.73189501,2.01641400
500,false,16,0.04699511,0.73181951,2.02849800
500,false,16,0.04696124,0.73129350,2.02721600
500,false,16,0.04709597,0.73141382,2.01555900
500,false,16,0.04699554,0.73107782,2.04876200
500,false,16,0.04702281,0.73155178,2.03832500
500,false,16,0.04726827,0.73232103,2.02184500
750,false,16,0.15518517,2.42100066,6.84477000
750,false,16,0.15243932,2.39972191,6.64073000
750,false,16,0.15299613,2.40178056,6.68583500
750,false,16,0.15234644,2.39615668,6.68064700
750,false,16,0.15251228,2.39782157,6.65556100
750,false,16,0.15236508,2.39748413,6.64689500
750,false,16,0.15252602,2.40102212,6.66313000
750,false,16,0.15205185,2.39802233,6.65061800
750,false,16,0.15230174,2.39777238,6.68424800
750,false,16,0.15316446,2.40603168,6.71494900
750,false,8,0.18775328,1.48119616,7.77158600
750,false,8,0.18763069,1.48036834,7.68632100
750,false,8,0.18705428,1.47920344,7.64579400
750,false,8,0.18701211,1.47922188,7.76676500
750,false,8,0.18717449,1.47946865,7.69047100
750,false,8,0.18676091,1.47938833,7.73179200
750,false,8,0.18703458,1.47917696,7.62040300
750,false,8,0.18682096,1.47911500,7.62028100
750,false,8,0.18683566,1.47908466,7.69187400
750,false,8,0.18666183,1.47868772,7.64762500
750,false,12,0.16935949,1.99013150,7.23209800
750,false,12,0.16812767,1.98749065,7.12589700
750,false,12,0.16821496,1.98845675,7.14207200
750,false,12,0.16838577,1.98843179,7.13902000
750,false,12,0.16806384,1.98780071,7.12766700
750,false,12,0.16807971,1.98704021,7.11649800
750,false,12,0.16795974,1.98670654,7.11057700
750,false,12,0.16800475,1.98760269,7.11045600
750,false,12,0.16808027,1.98766273,7.13102400
750,false,12,0.16839313,1.98750668,7.13731100
750,false,14,0.16122800,2.20328851,6.96610800
750,false,14,0.18461721,2.18320851,7.20713400
750,false,14,0.16050025,2.20046651,6.89243900
750,false,14,0.16041749,2.19812684,6.90342500
750,false,14,0.16039088,2.19690422,6.87156400
750,false,14,0.16022169,2.19721755,6.87602000
750,false,14,0.16076221,2.20678929,6.97410300
750,false,14,0.16051236,2.19781305,6.89903000
750,false,14,0.16040929,2.19930051,6.89146200
750,false,14,0.16049451,2.20009212,6.88889800
750,false,15,0.15757093,2.30272236,6.84397600
750,false,15,0.15648447,2.30313109,6.85594000
750,false,15,0.15609552,2.30368503,6.82468900
750,false,15,0.15598887,2.30396727,6.82621600
750,false,15,0.15591091,2.30453131,6.85362000
