size,pin,threads,runtime,usertime,energy
800,true,4,0.45131466,1.79577970,11.78540075
800,false,4,0.45022476,1.79435895,11.73676805
800,true,5,0.43697797,2.16515281,11.74046370
800,false,5,0.37051280,1.79540332,10.92190200
800,true,6,0.41752972,2.48347968,11.15729565
800,false,6,0.30655175,1.79585628,10.21159190
800,true,7,0.39914173,2.77551023,10.92145945
800,false,7,0.26089172,1.79629818,9.59887985
800,true,8,0.38716839,3.05256843,10.58273355
800,false,8,0.22697972,1.79934678,9.24208760
800,true,9,0.32982737,2.84227138,10.09450845
800,false,9,0.22392712,1.97614080,9.11092330
800,true,10,0.27863599,2.67721512,9.50812995
800,false,10,0.21983051,2.15447381,8.97407980
800,true,11,0.23966156,2.59451154,9.11971540
800,false,11,0.21713618,2.33069759,8.93481600
800,true,12,0.21100359,2.48878344,8.77856945
800,false,12,0.21312852,2.49256388,8.83532290
800,true,13,0.20599097,2.63508402,8.69210420
800,false,13,0.20559127,2.62815809,8.66501685
800,true,14,0.20444509,2.80761520,8.61073850
800,false,14,0.20292125,2.79511312,8.62239310
800,true,15,0.19935792,2.93747383,8.54300485
800,false,15,0.19816410,2.91889904,8.50357010
800,true,16,0.19709335,3.09217442,8.45346045
800,false,16,0.19546118,3.07147085,8.40203230
850,true,4,0.54223625,2.15504738,14.54959040
850,false,4,0.54198309,2.15409222,14.55530330
850,true,5,0.52323303,2.59505277,14.27977610
850,false,5,0.46174943,2.15516920,13.54542125
850,true,6,0.50046936,2.98181023,13.77841325
850,false,6,0.36348476,2.15397187,12.32658585
850,true,7,0.48171132,3.34490938,13.32887515
850,false,7,0.32409028,2.16630099,11.85527055
850,true,8,0.46407621,3.67357790,13.11622615
850,false,8,0.27456339,2.16674370,11.18325380
850,true,9,0.39324362,3.38682149,12.38711435
850,false,9,0.26743608,2.37144979,11.09244290
850,true,10,0.34105797,3.19450126,11.68370420
850,false,10,0.26389182,2.57988342,10.95067390
850,true,11,0.29110672,3.09676903,11.22413205
850,false,11,0.26256921,2.84961907,11.15083820
850,true,12,0.25088210,2.96819619,10.64378985
850,false,12,0.25297328,2.99133649,10.75899045
850,true,13,0.24581026,3.14510703,10.56961105
850,false,13,0.24704663,3.14120951,10.58302955
850,true,14,0.24230393,3.33883454,10.48424745
850,false,14,0.24228285,3.33775246,10.50835015
850,true,15,0.23761788,3.50175077,10.39047635
850,false,15,0.23860580,3.51998108,10.44764170
850,true,16,0.23198657,3.64236910,10.21928840
850,false,16,0.23405366,3.67727322,10.28463860

