type,size,pin,runtime,runtimestd,usertime,usertimestd,energy,energystd
oracle,500,false,0.04721176,0.00011102,0.73219659,0.00101669,2.05817099,0.01008464
mt,500,false,0.04751068,0.00047080,0.73108541,0.00935015,2.08314344,0.02257641
rt,500,false,0.05061978,0.00430595,0.62914402,0.10400646,2.12300543,0.08705614
oracle,750,false,0.15283347,0.00092010,2.40455459,0.00480823,6.78395053,0.06035357
mt,750,false,0.15875063,0.00397348,2.42502972,0.01977695,7.20533615,0.29704001
rt,750,false,0.16928912,0.01727690,2.10945683,0.29771637,7.41414601,0.64208047
oracle,1000,false,0.41622406,0.00908794,6.50771524,0.07433693,18.41744793,0.65425435
mt,1000,false,0.40937279,0.00293220,6.44382524,0.03161663,18.02555013,0.20163044
rt,1000,false,0.42153389,0.01273904,5.37519506,1.04171257,18.26688504,0.31353794
oracle,1250,false,0.87896210,0.00556507,6.96178250,0.04617988,37.54584813,0.36107076
mt,1250,false,1.01115956,0.00884612,15.95828783,0.12582264,42.50461765,0.55676258
rt,1250,false,1.18235840,0.31748999,8.82801571,3.64429550,41.85672995,4.02203174
oracle,1500,false,1.62396204,0.01260053,12.90297719,0.10110900,68.36989825,0.63463489
mt,1500,false,2.36462910,0.02352673,37.53433224,0.56562829,92.98021179,0.45014776
rt,1500,false,2.34248814,0.61786186,17.64573071,8.72402758,81.01154610,10.10631784
oracle,1750,false,2.52931016,0.01468093,20.12566812,0.09875254,107.97677006,0.94024124
mt,1750,false,3.52101389,0.05498278,55.72769669,1.07453035,143.97404002,1.52695157
rt,1750,false,3.61902228,0.96460509,27.54242473,14.17153515,126.82362243,15.56119809
oracle,500,true,0.04725409,0.00013707,0.73262974,0.00108793,2.04000635,0.00895109
mt,500,true,0.04735337,0.00023281,0.73490911,0.00321577,2.05029075,0.01344348
rt,500,true,0.05745944,0.01750805,0.68460509,0.04981413,2.18357965,0.22026589
oracle,750,true,0.15741681,0.00276133,2.46577722,0.00730947,6.95009696,0.06617588
mt,750,true,0.15610792,0.00704662,2.41806815,0.02050335,6.92903932,0.28143683
rt,750,true,0.19080987,0.05757147,2.27870692,0.17255823,7.43001449,0.79767481
oracle,1000,true,0.40978590,0.00348559,6.45416393,0.02792547,17.88566896,0.19382727
mt,1000,true,0.40874689,0.00174072,6.44019878,0.02061851,17.85506351,0.07537564
rt,1000,true,0.49936492,0.16227762,5.98799643,0.53890812,19.16586396,2.12836694
oracle,1250,true,0.93520856,0.01125686,10.89364088,0.05081152,39.13197688,0.19956852
mt,1250,true,1.01411714,0.00767764,16.01398347,0.10554672,42.46383419,0.53611986
rt,1250,true,1.17251099,0.42085234,13.59281797,2.09092491,43.12143068,6.02669506
oracle,1500,true,1.93806661,0.05779201,21.83640084,0.36765965,77.01439998,1.69472189
mt,1500,true,2.36470986,0.01716456,37.57056132,0.41955303,92.63251309,0.35071590
rt,1500,true,2.59692490,1.08231711,29.79731697,6.60290120,89.78599515,16.90384913
oracle,1750,true,3.16830236,0.12607019,35.29955285,0.66922822,126.05670789,3.52592440
mt,1750,true,3.52463152,0.06917416,55.81579668,1.22381699,144.03335137,1.39324253
rt,1750,true,4.03262475,1.52788851,46.12680559,8.74870412,143.24875196,23.15440540
