pin,size,threads,runtime,runtimesd,energy,energysd
true,500,1,0.43503582,0.00263888,6.51211977,0.19420561
true,500,2,0.21773061,0.00010286,3.95686626,0.01832673
true,500,3,0.15158916,0.01108595,3.27240014,0.12465303
true,500,4,0.10999721,0.00108376,2.76974130,0.03282108
true,500,5,0.10599594,0.00161801,2.72549343,0.02327308
true,500,6,0.10107282,0.00174699,2.63505411,0.02987458
true,500,7,0.09675051,0.00050899,2.57475734,0.01541996
true,500,8,0.09293997,0.00175793,2.55830574,0.07377513
true,500,9,0.07946144,0.00334919,2.38949394,0.04907433
true,500,10,0.06886625,0.00541512,2.27597451,0.07562744
true,500,11,0.05773294,0.00265466,2.10828495,0.03713322
true,500,12,0.05106906,0.00064735,2.05154538,0.02281654
true,500,13,0.05057907,0.00131571,2.03437519,0.02739323
true,500,14,0.04940876,0.00086388,2.02188277,0.02180395
true,500,15,0.04804230,0.00023982,1.99747729,0.01920251
true,500,16,0.04774195,0.00024939,1.99197543,0.01422813
true,600,1,0.75837570,0.00051788,11.35450172,0.13800494
true,600,2,0.38003284,0.00153376,7.17697430,0.06870658
true,600,3,0.26854825,0.02947239,5.99282694,0.36278021
true,600,4,0.19127396,0.00193325,4.97033358,0.06673701
true,600,5,0.18528093,0.00303405,4.89812756,0.04029237
true,600,6,0.17581974,0.00312145,4.68601370,0.08169344
true,600,7,0.16964655,0.00309335,4.60991669,0.05434640
true,600,8,0.16200460,0.00044963,4.43705511,0.01413192
true,600,9,0.14207248,0.00703977,4.26990604,0.09120026
true,600,10,0.11845051,0.00785103,4.00634861,0.09360932
true,600,11,0.10109646,0.00476364,3.80398321,0.06506480
true,600,12,0.08976825,0.00116014,3.69808984,0.02836246
true,600,13,0.08747911,0.00181841,3.65585017,0.02969136
true,600,14,0.08572071,0.00030904,3.59129000,0.01998213
true,600,15,0.08429655,0.00065619,3.55532551,0.05041832
true,600,16,0.08253002,0.00044495,3.51387548,0.01995194
true,700,1,1.20485556,0.00291127,18.81830025,0.82494539
true,700,2,0.60303336,0.00124164,11.41044331,0.06245033
true,700,3,0.41975939,0.03883764,9.37112713,0.44820565
true,700,4,0.30434224,0.00359208,8.01371193,0.16451125
true,700,5,0.29380333,0.00493292,7.79122353,0.05968479
true,700,6,0.28036714,0.00563629,7.50541687,0.08556125
true,700,7,0.26727867,0.00159606,7.32614851,0.02919644
true,700,8,0.25704986,0.00150578,7.07871532,0.10570782
true,700,9,0.21894524,0.01002210,6.74378061,0.13278711
true,700,10,0.18823439,0.01357342,6.42259264,0.25230464
true,700,11,0.16178070,0.01239137,6.08254099,0.15311781
true,700,12,0.14107281,0.00234025,5.86386681,0.06416135
true,700,13,0.13886157,0.00105762,5.82824469,0.04524854
true,700,14,0.13565661,0.00103973,5.73999453,0.07280457
true,700,15,0.13241825,0.00054975,5.66544676,0.02547672
true,700,16,0.13067400,0.00111426,5.58448601,0.05004724
true,800,1,1.79715407,0.00130786,28.29553032,0.63593757
true,800,2,0.90037775,0.00215149,17.38425255,1.03121984
true,800,3,0.61934423,0.04445220,13.96372223,0.58054155
true,800,4,0.45159817,0.00202310,11.93763065,0.08283798
true,800,5,0.44115546,0.00610649,11.72038651,0.08288623
true,800,6,0.42205712,0.00644715,11.34619904,0.18513358
true,800,7,0.40623429,0.00660833,11.13170433,0.09303157
true,800,8,0.38654357,0.00220114,10.68778706,0.28434360
true,800,9,0.33043313,0.01589844,10.19100571,0.22297633
