pin,size,threads,runtime,runtimestd,usertime,usertimestd,energy,energystd
true,500,4,0.10999673,0.00131191,0.43526982,0.00256519,2.90641832,0.04635821
true,500,5,0.10531114,0.00093798,0.51951757,0.00054184,2.79731582,0.02026207
true,500,6,0.10078059,0.00024210,0.59707316,0.00040793,2.73844634,0.01208876
true,500,7,0.09709750,0.00026934,0.66949815,0.00063324,2.70533726,0.00913024
true,500,8,0.09226035,0.00023059,0.72924954,0.00087986,2.58856384,0.01155528
true,500,9,0.07800392,0.00256329,0.68092805,0.00303402,2.44781962,0.03962277
true,500,10,0.06791956,0.00518929,0.64117233,0.00288939,2.30688014,0.07688670
true,500,11,0.05804187,0.00273953,0.62058221,0.00170016,2.18279480,0.03680140
true,500,12,0.05135370,0.00016400,0.60002362,0.00049674,2.11190732,0.01062985
true,500,13,0.04999218,0.00044876,0.63230222,0.00541019,2.07162440,0.05175163
true,500,14,0.04893041,0.00013520,0.66426110,0.00053329,2.05012410,0.01253949
true,500,15,0.04762151,0.00010865,0.69831926,0.00055123,2.03450540,0.01567013
true,500,16,0.04723831,0.00012879,0.73266171,0.00112262,2.02649016,0.01075272
true,750,4,0.37208356,0.00136169,1.47768910,0.00240701,10.12350318,0.48440684
true,750,5,0.36478027,0.02672250,1.76210487,0.02250519,10.58275736,0.84986055
true,750,6,0.33497097,0.00109396,1.99178625,0.00415508,9.39338664,0.37082141
true,750,7,0.32339025,0.00108747,2.24558300,0.00606420,9.18629366,0.43649326
true,750,8,0.30372798,0.00079432,2.40956160,0.00571977,8.68378888,0.27259341
true,750,9,0.26457435,0.01259054,2.25990167,0.01048447,8.22989106,0.16515094
true,750,10,0.23071117,0.02105850,2.13588298,0.01352960,7.90062068,0.27213500
true,750,11,0.19502364,0.01533314,2.06333698,0.00786340,7.46249430,0.18974335
true,750,12,0.16832338,0.00155238,1.98898098,0.00385990,7.14538820,0.04369703
true,750,13,0.16580478,0.00031899,2.11549603,0.00267557,7.05574250,0.02930303
true,750,14,0.16106146,0.00026445,2.20903010,0.00388497,6.93941342,0.02283101
true,750,15,0.15728414,0.00026833,2.30677636,0.00244201,6.83345536,0.02954603
true,750,16,0.15356958,0.00123557,2.40620964,0.00536884,6.74835794,0.08847870
true,1000,4,0.88610610,0.00690694,3.52908599,0.02129070,24.18245646,0.23634776
true,1000,5,0.88244093,0.00673055,4.36515486,0.01710209,24.06068300,0.45986265
true,1000,6,0.85554764,0.00818768,5.09351559,0.03133559,23.40159660,0.23037254
true,1000,7,0.84330281,0.00317912,5.81834347,0.00841973,23.34135998,0.09958368
true,1000,8,0.82459194,0.01918225,6.50592177,0.15638811,23.14626046,1.12932543
true,1000,9,0.68361873,0.03637349,5.88454327,0.03338167,21.30147622,0.46943030
true,1000,10,0.56730121,0.02610635,5.56315004,0.02244914,19.73043048,0.31565058
true,1000,11,0.48591691,0.00262174,5.28219275,0.01648459,18.77955036,0.09885348
true,1000,12,0.42695036,0.00133536,5.05041785,0.00934439,18.02023714,0.07197404
true,1000,13,0.42270993,0.00050453,5.41038485,0.00614483,17.90034360,0.02982134
true,1000,14,0.41845678,0.00493875,5.77695667,0.06992879,17.85263136,0.43646193
true,1000,15,0.41389409,0.00137545,6.10833699,0.01083020,17.82182932,0.06559817
true,1000,16,0.41201591,0.00147418,6.48471722,0.01336265,17.74816744,0.07552802
true,1250,4,1.76321987,0.01033987,7.01292147,0.02984395,48.43781674,0.85603887
true,1250,5,1.89812014,0.03536128,9.09589055,0.07078891,50.54760004,0.73077324
true,1250,6,1.89428825,0.01650576,11.09779522,0.04587642,51.02419680,0.67116519
true,1250,7,1.91152653,0.03254421,13.22620378,0.17639181,51.99362790,1.92759556
true,1250,8,2.02315752,0.02847167,16.10506570,0.22707759,54.12721984,1.67317519
true,1250,9,1.54808629,0.06011089,13.55104436,0.13484883,47.10126974,1.08769397
true,1250,10,1.26383087,0.07273880,12.27685176,0.06639612,43.17476124,0.86579548
true,1250,11,1.05449345,0.00297866,11.50653200,0.03157660,40.13478980,0.20660568
true,1250,12,0.93506541,0.01582273,10.92501043,0.18178223,38.71186012,1.04861837
true,1250,13,0.94339121,0.00771988,11.99028362,0.03844409,39.10508902,0.16249961
true,1250,14,0.94347606,0.01048267,13.01768810,0.05025037,39.69423058,0.25759785
true,1250,15,0.95240502,0.01565961,14.12258268,0.23363877,40.20099334,0.82659005
true,1250,16,1.02407303,0.00530419,16.20694266,0.06889205,42.37139546,0.22987199
true,1500,4,3.43750570,0.01440132,13.70775978,0.04289543,92.56153308,1.55010312
true,1500,5,3.81944319,0.03553795,18.01326883,0.10255556,98.70811770,2.46524269
true,1500,6,3.91274289,0.07500395,22.65617582,0.19774849,101.39884690,1.42362372
true,1500,7,4.12796471,0.04626245,28.14996781,0.17788577,106.77768448,1.60897920
true,1500,8,4.76143553,0.01833974,37.94031038,0.14512001,120.97421422,1.47044601
true,1500,9,3.36898804,0.13627529,29.41690972,0.25163377,98.11584012,1.64606662
true,1500,10,2.58732474,0.02401564,25.69678010,0.23270321,87.04499196,2.48097754
true,1500,11,2.13363361,0.00334049,23.37666922,0.02667504,79.06672628,0.23014449
true,1500,12,1.93111673,0.05834397,21.84501216,0.14035186,75.82645628,1.00231789
true,1500,13,1.95231916,0.04281276,24.38077990,0.34893983,77.96438654,1.56624375
true,1500,14,1.96732522,0.01862197,26.99821572,0.08373475,79.75235316,0.35017625
true,1500,15,2.11915542,0.01397780,31.31670415,0.13795970,84.57333572,0.52518653
true,1500,16,2.31756945,0.08079359,36.75714140,1.32908317,91.40175812,2.27698836
