oracle,size,pin,runtime,usertime,energy
true,500,true,0.04698504,0.73027886,2.07374102
false,500,true,0.05210222,0.70659998,2.14263062
true,500,false,0.04743860,0.73661260,2.09373092
false,500,false,0.05007391,0.64776222,2.14326508
true,750,true,0.15419803,2.42326789,6.91315064
false,750,true,0.17055889,2.33087451,7.14038791
true,750,false,0.15402584,2.41974861,6.90054386
false,750,false,0.16262027,2.28662071,7.20701829
true,1000,true,0.40822796,6.42685121,18.07941875
false,1000,true,0.45401513,6.20386518,18.74161034
true,1000,false,0.41994517,5.78979469,18.39247123
false,1000,false,0.41567339,5.89849793,18.26552665
true,1250,true,0.93577287,10.87021900,39.49134239
false,1250,true,1.06816213,12.31570788,41.58566076
true,1250,false,0.87956397,6.96374236,37.46640952
false,1250,false,1.02903090,7.95760061,39.67112585
true,1500,true,1.93410141,21.93696349,77.22039130
false,1500,true,2.28517617,25.97711724,83.99320446
true,1500,false,1.63220791,12.96840821,69.15511226
false,1500,false,1.96675318,15.52474735,73.95130726
