pin,size,threads,runtime,runtimesd,energy,energysd,name
true,500,1,0.15445921,0.00013817007,2.3867702,0.025005516,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_500_500__i__i__d_500_500__i__i__d_500_500__d
true,500,2,0.16239005,0.0012102379,2.591327,0.020763138,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_500_500__i__i__d_500_500__i__i__d_500_500__d
true,500,3,0.10443197,0.0017059833,2.011228,0.032286137,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_500_500__i__i__d_500_500__i__i__d_500_500__d
true,500,4,0.078202456,0.0019627162,1.5848248,0.03980536,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_500_500__i__i__d_500_500__i__i__d_500_500__d
true,500,5,0.061694395,0.0018828931,1.4443638,0.052283157,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_500_500__i__i__d_500_500__i__i__d_500_500__d
true,500,6,0.05291937,0.0015051408,1.2952051,0.040371276,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_500_500__i__i__d_500_500__i__i__d_500_500__d
true,500,7,0.06088294,0.00003228365,1.6018721,0.008418058,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_500_500__i__i__d_500_500__i__i__d_500_500__d
true,500,8,0.03898456,0.0016052962,1.1177042,0.041225683,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_500_500__i__i__d_500_500__i__i__d_500_500__d
true,500,9,0.034231078,0.0009672072,1.1033672,0.033693384,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_500_500__i__i__d_500_500__i__i__d_500_500__d
true,500,10,0.031005014,0.0010523502,1.0362446,0.038416244,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_500_500__i__i__d_500_500__i__i__d_500_500__d
true,500,11,0.028387297,0.0011494943,1.050971,0.04418218,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_500_500__i__i__d_500_500__i__i__d_500_500__d
true,500,12,0.026217189,0.0010512319,0.9940352,0.0367817,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_500_500__i__i__d_500_500__i__i__d_500_500__d
true,500,13,0.024002688,0.0009200522,0.9917221,0.038941972,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_500_500__i__i__d_500_500__i__i__d_500_500__d
true,500,14,0.022796523,0.0038146763,0.9436691,0.04492262,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_500_500__i__i__d_500_500__i__i__d_500_500__d
true,500,15,0.022850856,0.003033889,1.018503,0.06478468,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_500_500__i__i__d_500_500__i__i__d_500_500__d
true,500,16,0.022748418,0.004377224,1.0447345,0.15509962,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_500_500__i__i__d_500_500__i__i__d_500_500__d
true,600,1,0.31711972,0.0006366443,4.7788124,0.05587824,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_600_600__i__i__d_600_600__i__i__d_600_600__d
true,600,2,0.29710463,0.0030745624,4.667643,0.04876084,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_600_600__i__i__d_600_600__i__i__d_600_600__d
true,600,3,0.18066727,0.0046102256,3.4854746,0.18948537,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_600_600__i__i__d_600_600__i__i__d_600_600__d
true,600,4,0.13858517,0.003454667,2.7358854,0.06998809,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_600_600__i__i__d_600_600__i__i__d_600_600__d
true,600,5,0.114064276,0.0048418236,2.6199648,0.112040505,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_600_600__i__i__d_600_600__i__i__d_600_600__d
true,600,6,0.0924972,0.0025561305,2.1964927,0.060057007,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_600_600__i__i__d_600_600__i__i__d_600_600__d
true,600,7,0.08477251,0.005760489,2.2971063,0.15700048,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_600_600__i__i__d_600_600__i__i__d_600_600__d
true,600,8,0.06897132,0.0021570278,1.9179634,0.06316424,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_600_600__i__i__d_600_600__i__i__d_600_600__d
true,600,9,0.06135047,0.0015419044,1.9283147,0.043675642,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_600_600__i__i__d_600_600__i__i__d_600_600__d
