size,threads,runtime,runtimesd,energy,energysd
500,1,0.06983075,0.00011935,1.16869903,0.00791410
500,2,0.06643055,0.00684342,1.11293256,0.11412422
500,3,0.04447545,0.00456110,0.90201181,0.09607388
500,4,0.03285244,0.00245124,0.68094420,0.05045589
500,5,0.02658426,0.00182915,0.65024114,0.04194472
500,6,0.02215857,0.00184119,0.55969578,0.04076577
500,7,0.01903377,0.00158644,0.54905725,0.04017316
500,8,0.01657715,0.00101156,0.48592040,0.02859422
500,9,0.01481162,0.00138923,0.48999748,0.04590574
500,10,0.01314038,0.00107801,0.44100228,0.02961772
500,11,0.01204040,0.00042957,0.44617566,0.01962867
500,12,0.01107494,0.00051107,0.41559589,0.02094866
500,13,0.01019970,0.00042696,0.42212787,0.02113017
500,14,0.00961414,0.00083832,0.40453136,0.03799154
500,15,0.00891223,0.00049600,0.40694717,0.02604754
500,16,0.00854567,0.00083850,0.38937402,0.02720670
600,1,0.13474309,0.00392626,2.15965176,0.08585826
600,2,0.12568912,0.01569493,2.07404423,0.26732394
600,3,0.08328701,0.01033530,1.66000521,0.20649928
600,4,0.06175416,0.00767388,1.27723277,0.15253085
600,5,0.04971552,0.00559135,1.20154679,0.12519634
600,6,0.04182191,0.00486127,1.03659368,0.11353800
600,7,0.03564347,0.00360997,1.00585520,0.09095003
600,8,0.03191596,0.00361804,0.93063456,0.10063500
600,9,0.02804383,0.00314786,0.90944082,0.09344219
600,10,0.02453217,0.00205172,0.85475600,0.07405857
600,11,0.02274603,0.00208559,0.84467691,0.07710274
600,12,0.02082348,0.00201855,0.77310479,0.07877730
600,13,0.01957694,0.00207902,0.79354280,0.07407072
600,14,0.01796802,0.00244533,0.73632509,0.06404728
600,15,0.01667160,0.00128913,0.74834287,0.05364653
600,16,0.01639282,0.00223285,0.73490173,0.08885175
700,1,0.22274970,0.00469608,3.67486143,0.07329672
700,2,0.23841912,0.01308017,3.92370701,0.21488819
700,3,0.15899557,0.00827288,3.15529227,0.16313718
700,4,0.11798804,0.00446921,2.43694377,0.08475054
700,5,0.09471351,0.00399747,2.28695607,0.09026538
700,6,0.07834000,0.00365002,1.92620528,0.07867572
700,7,0.06788786,0.00294592,1.95261765,0.09406139
700,8,0.05937798,0.00128781,1.73437011,0.03375617
700,9,0.05287934,0.00203030,1.73435318,0.07598372
700,10,0.04766204,0.00187414,1.58852839,0.05355879
700,11,0.04362407,0.00151350,1.60545349,0.05343942
700,12,0.03988656,0.00145347,1.48459828,0.04361194
