pin,size,threads,runtime,runtimesd,energy,energysd
true,1000,1,0.00231670,0.00000210,0.03664757,0.00734073
true,1000,2,0.00234402,0.00001281,0.03808676,0.00799090
true,1000,3,0.00156427,0.00000871,0.03190605,0.00962803
true,1000,4,0.00117168,0.00000657,0.02382745,0.00740183
true,1000,5,0.00093723,0.00000545,0.02274927,0.00733760
true,1000,6,0.00078258,0.00000463,0.02031703,0.01033884
true,1000,7,0.00067003,0.00000409,0.01940242,0.01406255
true,1000,8,0.00058573,0.00000388,0.01772182,0.01490663
true,1000,9,0.00052325,0.00000333,0.01827785,0.01718485
true,1000,10,0.00046849,0.00000341,0.01683620,0.01747735
true,1000,11,0.00042624,0.00000296,0.01641781,0.01903566
true,1000,12,0.00039362,0.00000341,0.01571987,0.01920194
true,1000,13,0.00036065,0.00000298,0.01481808,0.02054508
true,1000,14,0.00033723,0.00000268,0.01529751,0.02101317
true,1000,15,0.00031404,0.00000470,0.01473507,0.02211756
true,1000,16,0.00029508,0.00000259,0.01465664,0.02256154
true,5000,1,0.05790862,0.00000910,0.94366968,0.01444813
true,5000,2,0.05867881,0.00004106,0.96659821,0.00803473
true,5000,3,0.03913863,0.00002835,0.81897461,0.01666090
true,5000,4,0.02935224,0.00002452,0.67910957,0.05786532
true,5000,5,0.02347846,0.00001713,0.61181849,0.01268129
true,5000,6,0.01957996,0.00001537,0.52782595,0.01352618
true,5000,7,0.01678556,0.00001285,0.52255011,0.01216581
true,5000,8,0.01468052,0.00001225,0.48447278,0.02382774
true,5000,9,0.01306101,0.00000990,0.47205204,0.01103089
true,5000,10,0.01174317,0.00000984,0.43427113,0.01813819
true,5000,11,0.01068606,0.00000831,0.43885139,0.01820140
true,5000,12,0.00979366,0.00000840,0.41297138,0.01670945
true,5000,13,0.00904388,0.00000861,0.41990003,0.01330473
true,5000,14,0.00853778,0.00104866,0.39852193,0.02339906
true,5000,15,0.00784335,0.00000693,0.40893203,0.01872611
true,5000,16,0.00735780,0.00003129,0.39218435,0.02693358
true,10000,1,0.23379113,0.00265318,3.93607664,0.14411099
true,10000,2,0.23542406,0.00115725,3.96789694,0.07775576
true,10000,3,0.15692817,0.00071331,3.29600596,0.03374164
true,10000,4,0.11772089,0.00063435,2.60887504,0.03760802
true,10000,5,0.09410602,0.00039595,2.48791599,0.07380393
true,10000,6,0.07838105,0.00037951,2.15827489,0.02602747
true,10000,7,0.06728677,0.00033799,2.14512110,0.02243371
true,10000,8,0.05885768,0.00022011,1.94144118,0.03244278
true,10000,9,0.05233010,0.00024329,1.94459307,0.02258118
true,10000,10,0.04720110,0.00029495,1.78942311,0.02271710
true,10000,11,0.04282323,0.00020934,1.81426692,0.02350639
true,10000,12,0.03930108,0.00019368,1.73025894,0.07689074
true,10000,13,0.03618784,0.00014707,1.71721864,0.02326622
true,10000,14,0.03376487,0.00167676,1.63997269,0.02607329
true,10000,15,0.03139256,0.00030060,1.67234874,0.02831126
true,10000,16,0.02971451,0.00238660,1.61220169,0.09205072
