pin,size,threads,runtime,runtimesd,energy,energysd
true,1000,1,0.01517945,0.00025120,0.23834781,0.00663422
true,1000,2,0.01545692,0.00014266,0.24514467,0.00855176
true,1000,3,0.01032504,0.00009505,0.20130387,0.00926278
true,1000,4,0.00773320,0.00007729,0.15468283,0.00935735
true,1000,5,0.00618426,0.00005978,0.14439417,0.00892212
true,1000,6,0.00516475,0.00004955,0.12455170,0.00932641
true,1000,7,0.00442753,0.00004236,0.12166717,0.01350743
true,1000,8,0.00387152,0.00003651,0.10944369,0.00944039
true,1000,9,0.00346600,0.00003558,0.11019745,0.01517440
true,1000,10,0.00310085,0.00002805,0.10061619,0.01019896
true,1000,11,0.00282626,0.00002665,0.10263218,0.01273840
true,1000,12,0.00260615,0.00002593,0.09545690,0.01752219
true,1000,13,0.00239360,0.00002507,0.09623695,0.01982783
true,1000,14,0.00223788,0.00002051,0.08996559,0.01747722
true,1000,15,0.00208659,0.00002210,0.09314673,0.01350362
true,1000,16,0.00200607,0.00009517,0.08975016,0.01245763
true,10000,1,1.57012522,0.02272158,24.87016869,0.50567138
true,10000,2,1.54478192,0.01400332,25.34908295,0.68116587
true,10000,3,1.03007829,0.00946881,20.38230133,0.33054343
true,10000,4,0.77254862,0.00734244,16.02316856,0.50184131
true,10000,5,0.61808324,0.00589030,14.73784637,0.34447035
true,10000,6,0.51535654,0.00491002,12.76160145,0.15857898
true,10000,7,0.44192979,0.00422874,12.41828156,0.13795884
true,10000,8,0.38682395,0.00371533,11.28213978,0.18512349
true,10000,9,0.34436372,0.00332294,11.63445568,0.70676529
true,10000,10,0.30989665,0.00324299,10.53631115,0.54000813
true,10000,11,0.28195694,0.00276053,10.53051376,0.33245248
true,10000,12,0.25861657,0.00256743,9.78036785,0.10555033
true,10000,13,0.23877144,0.00240042,9.89087677,0.10236558
true,10000,14,0.22269194,0.00647075,9.39734077,0.36278951
true,10000,15,0.20733038,0.00260176,9.46138096,0.11962809
true,10000,16,0.19483130,0.00314452,9.07633877,0.13230780
true,25000,1,10.14503098,0.14028503,163.58970642,4.86706734
true,25000,2,9.89481544,0.08931753,161.58648682,2.68123102
true,25000,3,6.59814167,0.06001647,130.56153870,2.07041740
