type,size,pin,runtime,runtimesd,energy,energysd
oracle,500,false,0.04750659,0.00039539,2.08376765,0.02543253
mt,500,false,0.04818008,0.00255957,2.09482074,0.04828959
rt,500,false,0.04809134,0.00082276,2.11663723,0.05417223
oracle,750,false,0.15486336,0.00143143,6.91047668,0.09340049
mt,750,false,0.15797140,0.00789305,6.98288107,0.23011656
rt,750,false,0.15588421,0.00161291,6.96041727,0.09846208
oracle,1000,false,0.41205692,0.00398619,18.12265587,0.26237911
mt,1000,false,0.41483322,0.01344430,18.21408081,0.49997824
rt,1000,false,0.42658162,0.04738740,18.72919083,1.72792995
oracle,1250,false,0.88223910,0.01392713,37.40898895,0.59679776
mt,1250,false,1.00231338,0.35453242,39.39793015,4.65409279
rt,1250,false,1.03252447,0.00704569,42.98132324,0.36446664
oracle,1500,false,1.63591075,0.03630857,69.01802826,1.51956511
mt,1500,false,1.91881108,0.66635716,74.10455322,10.62015915
rt,1500,false,2.34359479,0.03409883,91.90533447,0.54586107
oracle,1750,false,2.52624655,0.02250763,108.29871368,1.07824314
mt,1750,false,3.01720309,1.06708610,118.56182861,16.47721100
rt,1750,false,3.53349757,0.05941311,143.87162781,1.14685965
oracle,500,true,0.04805305,0.00279254,2.09202099,0.05744059
mt,500,true,0.05112470,0.00958930,2.12955928,0.12411689
rt,500,true,0.04764923,0.00041795,2.07631731,0.02080120
oracle,750,true,0.15385765,0.00097586,6.82575941,0.05087794
mt,750,true,0.16255769,0.03258598,6.97587347,0.44863078
rt,750,true,0.15600325,0.00528459,6.94488287,0.24548808
oracle,1000,true,0.40986833,0.00282927,17.95743942,0.17031355
mt,1000,true,0.43201581,0.08808760,18.25523758,1.14009953
rt,1000,true,0.41106737,0.00384626,18.02336884,0.17613558
oracle,1250,true,0.94351661,0.01599323,39.45379639,0.54969388
mt,1250,true,1.00589824,0.24013017,40.50257874,3.63377285
rt,1250,true,1.02013028,0.02921049,42.70367050,1.27208686
oracle,1500,true,1.87733853,0.04959388,75.64096832,1.11019111
mt,1500,true,2.10267639,0.61517870,80.45128632,10.60114956
rt,1500,true,2.31160355,0.04398279,90.95929718,1.11962426
oracle,1750,true,3.09412265,0.10137574,124.79199982,1.97872055
mt,1750,true,3.38017511,0.87076831,130.91993713,14.48639870
rt,1750,true,3.52875161,0.05657975,143.87243652,0.87346500
