size,threads,runtime,runtimesd,energy,energysd
10000,1,0.23223831,0.00081309,3.98162532,0.22697704
10000,2,0.23585285,0.00111448,3.98107243,0.12634750
10000,3,0.15689602,0.00072164,3.36325932,0.19860567
10000,4,0.11767649,0.00059136,2.59921288,0.03040074
10000,5,0.09411887,0.00048484,2.46296668,0.04913345
10000,6,0.07847574,0.00041714,2.12290120,0.01693451
10000,7,0.06719808,0.00033321,2.10264730,0.02704997
10000,8,0.05880041,0.00029317,1.89543080,0.02194163
10000,9,0.05233820,0.00024592,1.93492019,0.05907620
10000,10,0.04706890,0.00022091,1.75948763,0.02626428
10000,11,0.04279944,0.00020139,1.78224385,0.01876774
10000,12,0.03921971,0.00018732,1.67271769,0.02090176
10000,13,0.03616909,0.00015980,1.69903910,0.02181862
10000,14,0.03390067,0.00228336,1.62997210,0.05320835
10000,15,0.03145533,0.00030186,1.67302430,0.02816653
10000,16,0.02939546,0.00013161,1.58604360,0.02656074
25000,1,1.60308945,0.02065683,27.81071854,0.67329437
25000,2,1.48539388,0.00815019,25.66343307,0.55956328
25000,3,0.98821187,0.00446146,21.34423828,0.59568161
25000,4,0.74636441,0.00268298,17.10568619,0.34911215
25000,5,0.59911859,0.00870195,16.18086624,0.27482045
25000,6,0.51269293,0.01509869,14.27406597,0.40794101
25000,7,0.44925618,0.01349704,14.50199604,0.45606288
25000,8,0.39091522,0.01074401,13.10331917,0.31969339
25000,9,0.34922010,0.01399256,13.13955593,0.43689489
25000,10,0.31495148,0.00916907,12.21947765,0.33015543
25000,11,0.28764018,0.01319938,12.48759651,0.49666965
25000,12,0.26423103,0.00949552,11.81367302,0.45716029
25000,13,0.23861353,0.00751169,11.75864506,0.30508435
25000,14,0.23535141,0.01397781,11.78785515,0.53337592
25000,15,0.21662441,0.01280215,11.87418079,0.56783259
25000,16,0.21623449,0.01668009,11.97088337,0.71770477
40000,1,4.27868938,0.11347371,73.77661896,1.99315560
40000,2,3.98695159,0.00934974,69.48119354,1.84666502
40000,3,2.65473843,0.00977887,57.57835388,0.74563932
40000,4,1.99189794,0.00685399,45.91245270,1.25098169
40000,5,1.59946823,0.03399084,43.30321121,0.92685640
40000,6,1.44502151,0.10281184,39.86462402,2.44260240
40000,7,1.22787857,0.08183100,39.29817200,2.39535952
40000,8,1.10624909,0.06981006,36.59598160,2.02605367
40000,9,0.99703491,0.06564079,36.95402908,2.15784454
40000,10,0.89506793,0.05729299,34.04049683,1.92843425
40000,11,0.81469935,0.05643490,34.61257172,2.04076409
40000,12,0.75582337,0.05623029,33.09471130,2.07565141
40000,13,0.69492304,0.06086647,33.40491867,2.28198791
40000,14,0.67741472,0.08037277,33.00113297,3.21446157
40000,15,0.62541503,0.06632630,33.41643524,2.78410506
40000,16,0.66827255,0.07742263,35.52402878,3.22294736
