size,threads,runtime,runtimesd,energy,energysd
10000,1,0.57017082,0.01546713,9.24104309,0.34699890
10000,2,0.61869973,0.01001617,9.93401718,0.22557734
10000,3,0.41257221,0.00667228,7.94613218,0.46167520
10000,4,0.30962765,0.00517435,6.04913473,0.18712525
10000,5,0.24781470,0.00412750,5.71100569,0.13749355
10000,6,0.20677404,0.00347564,4.88392687,0.10692303
10000,7,0.17728677,0.00299341,4.83955479,0.13062744
10000,8,0.15518050,0.00268396,4.30847883,0.07957484
10000,9,0.13804187,0.00239218,4.35976505,0.15807830
10000,10,0.12424830,0.00219664,3.96096730,0.07671617
10000,11,0.11304294,0.00200356,3.99232006,0.07277017
10000,12,0.10370254,0.00185051,3.75095916,0.10429806
10000,13,0.09575215,0.00172706,3.72838449,0.07209917
10000,14,0.08915783,0.00261133,3.51774597,0.10178520
10000,15,0.08352965,0.00630185,3.59363008,0.24303514
10000,16,0.07812649,0.00185172,3.40508938,0.07991543
25000,1,3.76683378,0.09681223,59.21442795,2.69243622
25000,2,4.10657644,0.05933794,62.61837006,1.60667920
25000,3,2.73906136,0.04160596,51.68610001,1.19486904
25000,4,2.05548358,0.03134459,39.96035767,1.04754651
25000,5,1.64511502,0.02557482,37.88737488,1.08770788
25000,6,1.37259078,0.02142787,32.38172913,0.69616288
25000,7,1.17656362,0.01874213,32.07104874,0.76054865
25000,8,1.03006601,0.01663696,28.61432838,0.64806557
25000,9,0.91566718,0.01500269,28.56720734,0.63438827
25000,10,0.82470107,0.01369325,26.29206085,0.49313438
25000,11,0.74986893,0.01263020,26.72063637,0.52549827
25000,12,0.68802011,0.01173593,24.89450455,0.64398652
25000,13,0.63514304,0.01100542,24.80265045,0.52348530
25000,14,0.59177554,0.01399209,23.48447418,0.63502204
25000,15,0.58122432,0.01344002,25.38729286,0.62673450
25000,16,0.62233496,0.05586271,27.17765427,2.17019343
40000,1,9.11377525,0.24665900,143.26115417,5.36499310
40000,2,9.89626884,0.16087987,151.27471924,3.16660404
40000,3,6.60142326,0.10873345,125.14285278,3.48679733
40000,4,4.95524216,0.08266900,96.49749756,2.10754204
40000,5,3.96542811,0.06685237,91.76530457,2.00709152
40000,6,3.30796361,0.05641093,78.37406921,1.89246309
40000,7,2.83517742,0.04852112,77.55873871,1.56838238
40000,8,2.48243809,0.04350450,69.46638489,1.67228115
40000,9,2.20679593,0.03941598,69.70196533,1.42836452
40000,10,1.98790193,0.03565238,64.27895355,2.03547335
40000,11,1.80765593,0.03294568,64.86658478,1.39413023
40000,12,1.66278851,0.03100953,61.01752853,1.50423443
40000,13,1.66509128,0.02539981,66.47702026,1.67706227
40000,14,1.77217698,0.02153441,70.43173981,1.30526936
40000,15,1.79983091,0.03959521,76.42018890,1.87370265
40000,16,1.93526006,0.08406589,79.89345551,3.32430744
