dynamic,busy,threads,energy,runtime,usertime
false,1,1,8.17464360,0.43632317,0.87097028
false,1,2,8.00958640,0.43594299,0.87211558
false,1,3,7.93705240,0.43603468,0.87081263
false,1,4,7.94404710,0.43608159,0.87088599
false,1,5,7.96284580,0.43941334,0.88548329
false,1,6,8.15304910,0.45325143,0.90564967
false,1,7,8.16855820,0.45423380,0.91190434
false,1,8,8.24529130,0.44669104,0.93943127
false,1,9,8.15044310,0.45103004,0.98874924
false,1,10,8.04842900,0.44553467,1.02368560
false,1,11,8.06061170,0.44841128,1.07780708
false,1,12,8.18173560,0.45824870,1.08335265
false,1,13,8.82777280,0.45609573,1.13625588
false,1,14,8.18653310,0.45727867,1.15511973
false,1,15,8.14936260,0.45703017,1.18646923
false,1,16,8.22120690,0.45709434,1.19420249
false,3,1,7.95759080,0.43456840,0.87057092
false,3,2,5.45516790,0.21788611,0.87085029
false,3,3,4.90216020,0.16965269,0.87142819
false,3,4,4.74665540,0.15316378,0.91197217
false,3,5,5.12105620,0.18341432,0.95499532
false,3,6,5.07246620,0.18156020,1.00343570
false,3,7,5.04705140,0.17884339,1.05113598
false,3,8,5.01422670,0.17498620,1.04660233
false,3,9,4.98029750,0.17317511,1.09728568
false,3,10,5.12670800,0.18828460,1.15502319
false,3,11,5.15711580,0.18731140,1.21103342
false,3,12,5.03943420,0.17997182,1.22018818
false,3,13,5.15474730,0.18990198,1.24465153
false,3,14,5.12606100,0.18562086,1.23029892
false,3,15,5.14259530,0.18991246,1.22590118
false,3,16,5.21365250,0.19421206,1.22886752
false,5,1,7.98235260,0.43479656,0.87157300
false,5,2,5.55332450,0.21783214,0.87163993
false,5,3,4.72861350,0.15178849,0.87969297
false,5,4,4.29761470,0.11542108,0.95742931
false,5,5,4.35164290,0.11975356,1.06027180
false,5,6,4.43426590,0.12518769,1.12327502
false,5,7,4.46228720,0.12741627,1.16838003
false,5,8,4.39655860,0.12073642,1.19969036
false,5,9,4.44312210,0.12558658,1.25183632
false,5,10,4.45484090,0.12703083,1.30671914
false,5,11,4.38654260,0.12071150,1.31500199
false,5,12,4.43726260,0.12430295,1.29936905
false,5,13,4.54548390,0.13388074,1.30217149
false,5,14,4.49383030,0.12943222,1.28608074
false,5,15,4.54519090,0.13646057,1.29200560
false,5,16,4.58549860,0.13666827,1.28291722
false,7,1,8.05589980,0.43464506,0.87893558
false,7,2,5.49081840,0.21793898,0.92822984
false,7,3,4.93047440,0.16801568,0.99457257
false,7,4,4.53462590,0.13311474,1.07504124
false,7,5,4.28291150,0.11132770,1.15768854
false,7,6,4.21273340,0.10444711,1.25827376
false,7,7,4.18713530,0.10093410,1.32789912
false,7,8,4.22591690,0.10186299,1.38129791
false,7,9,4.17930440,0.10190549,1.40026734
false,7,10,4.21803740,0.10590725,1.38035181
false,7,11,4.24270140,0.10782998,1.37870747
false,7,12,4.26355720,0.11005003,1.35689529
false,7,13,4.35959590,0.11719512,1.33650585
false,7,14,4.33704340,0.11654583,1.33645590
false,7,15,4.29823740,0.11227406,1.32323550
false,7,16,4.35348000,0.11557312,1.30185583
false,9,1,8.55830340,0.43785421,0.98530439
false,9,2,5.71213130,0.23098823,1.02814979
false,9,3,5.05883700,0.17519173,1.09545252
false,9,4,4.56868950,0.13386853,1.17960794
false,9,5,4.34126100,0.11418892,1.25513954
false,9,6,4.25676410,0.10562817,1.34250549
false,9,7,4.17541040,0.09846129,1.42530154
false,9,8,4.08574370,0.09613215,1.46390218
false,9,9,4.14240880,0.09819557,1.44603407
false,9,10,4.16403960,0.10059333,1.42745059
false,9,11,4.16358790,0.10064889,1.41704194
false,9,12,4.20198510,0.10203726,1.41157892
false,9,13,4.23094020,0.10492727,1.38725819
false,9,14,4.26576660,0.10626782,1.38123561
false,9,15,4.22328610,0.10430427,1.38703911
false,9,16,4.23507220,0.10488771,1.37695324
false,11,1,7.99898460,0.43463946,1.05308822
false,11,2,5.86345540,0.23986308,1.10996541
false,11,3,4.97884460,0.16902848,1.18309359
false,11,4,4.56066950,0.13334045,1.25790519
false,11,5,4.43308810,0.12172011,1.32622320
false,11,6,4.25382210,0.10534388,1.37322393
false,11,7,4.20547640,0.10180735,1.44442497
false,11,8,4.15559250,0.09903974,1.47519494
false,11,9,4.15617830,0.09761555,1.46978571
false,11,10,4.14397120,0.09797782,1.45495393
false,11,11,4.15597090,0.09858298,1.42573594
false,11,12,4.17277380,0.09902782,1.44023768
false,11,13,4.14824990,0.09866985,1.42131830
false,11,14,4.19193880,0.10066098,1.42210952
false,11,15,4.14533260,0.09926815,1.40542457
false,11,16,4.16482070,0.09939998,1.39684512
false,13,1,8.25324430,0.45206746,1.11536231
false,13,2,5.88600170,0.24138562,1.18762727
false,13,3,5.02156300,0.17325353,1.24206993
false,13,4,4.63595010,0.13567149,1.28275603
false,13,5,4.47934030,0.12357672,1.32379554
false,13,6,4.31693220,0.10688616,1.37801176
false,13,7,4.19798120,0.10187225,1.43966808
false,13,8,4.10688640,0.09589534,1.46880979
false,13,9,4.14075450,0.09707969,1.46073477
false,13,10,4.10876040,0.09610007,1.45839381
false,13,11,4.12127870,0.09649035,1.44664700
false,13,12,4.20810080,0.09804012,1.45360571
false,13,13,4.17098530,0.09758891,1.46090344
false,13,14,4.14200610,0.09792665,1.44569070
false,13,15,4.14826810,0.09752940,1.43029773
false,13,16,4.15020910,0.09833126,1.44330945
false,15,1,8.35097340,0.45513199,1.19428463
false,15,2,5.86496300,0.24040702,1.21858922
false,15,3,5.18240850,0.18171478,1.25608543
false,15,4,4.69596580,0.14002590,1.28928922
false,15,5,4.52970640,0.12664775,1.33403100
false,15,6,4.30940660,0.10678611,1.36943812
false,15,7,4.23691540,0.10135480,1.42240474
false,15,8,4.13975370,0.09720135,1.48060181
false,15,9,4.13936310,0.09635533,1.47922256
false,15,10,4.13419370,0.09606596,1.47890746
false,15,11,4.12816350,0.09628455,1.46739195
false,15,12,4.13301560,0.09671835,1.46812560
false,15,13,4.16082930,0.09780215,1.46051494
false,15,14,4.13372980,0.09655980,1.45166993
false,15,15,4.16232450,0.09764969,1.46419642
false,15,16,4.17663110,0.09748785,1.46388236
