dynamic,busy,threads,energy,runtime,usertime
false,0,1,48.17943590,0.41354505,0.42044856
false,0,2,25.86548370,0.20535214,0.41547862
false,0,3,21.27416670,0.15449337,0.41870937
false,0,4,14.25963860,0.10594669,0.42164076
false,0,5,11.72740880,0.08490800,0.41914626
false,0,6,10.72330130,0.07438857,0.41943865
false,0,7,9.32784400,0.06200422,0.41749281
false,0,8,8.46744860,0.05431165,0.42000417
false,0,9,8.00950260,0.04917964,0.42152982
false,0,10,7.09824140,0.04418067,0.41902513
false,0,11,6.61544940,0.04007752,0.41941548
false,0,12,6.67655730,0.03743356,0.42309801
false,0,13,6.00856840,0.03469330,0.42225816
false,0,14,6.24640700,0.03258276,0.42374120
false,0,15,5.95285550,0.03033871,0.42350116
false,0,16,5.32854210,0.02886847,0.42368469
false,0,17,5.61506150,0.02796405,0.42589180
false,0,18,5.40410290,0.02615834,0.42769436
false,0,19,5.24479080,0.02508870,0.42730246
false,0,20,5.10912470,0.02413686,0.42619011
false,0,21,5.01658620,0.02317107,0.43081571
false,0,22,4.77931380,0.02199930,0.42871278
false,0,23,4.76821070,0.02148157,0.42779226
false,0,24,4.67781740,0.02087242,0.43237922
false,0,25,4.60481560,0.02045626,0.43130546
false,0,26,4.48190370,0.01949590,0.43139605
false,0,27,4.49700400,0.01940741,0.43190240
false,0,28,4.31314460,0.01851755,0.43696795
false,0,29,4.30358310,0.01789065,0.43447166
false,0,30,4.30871900,0.01817482,0.43380765
false,0,31,4.28233790,0.01817614,0.43615333
false,0,32,4.23135780,0.01749714,0.43899238
false,4,1,50.52491090,0.40763425,0.82854891
false,4,2,30.06133460,0.20522683,0.82129647
false,4,3,21.48590530,0.13877463,0.82206607
false,4,4,18.22380840,0.10780637,0.82098138
false,4,5,18.30066660,0.10792535,0.82250630
false,4,6,18.25169890,0.10804219,0.82539613
false,4,7,18.19393990,0.10744037,0.82318309
false,4,8,18.28688390,0.10824130,0.82700628
false,4,9,18.25346750,0.10820355,0.82790236
false,4,10,18.34215920,0.10853298,0.82997375
false,4,11,18.22830720,0.10801579,0.82948329
false,4,12,18.24302520,0.10792865,0.82976168
false,4,13,18.31710070,0.10772807,0.83012118
false,4,14,18.32391510,0.10827208,0.83189598
false,4,15,18.44986390,0.10930991,0.83514597
false,4,16,18.26203450,0.10853802,0.83328732
false,4,17,18.33655270,0.10842378,0.83609437
false,4,18,18.39104270,0.10903484,0.84292293
false,4,19,18.30248070,0.10854668,0.83555297
false,4,20,18.54144240,0.10993909,0.84051901
false,4,21,18.69248260,0.11135315,0.84270968
false,4,22,18.37854780,0.10944352,0.83809086
false,4,23,18.69267930,0.11099687,0.84520070
false,4,24,18.48256910,0.11036784,0.84552146
false,4,25,18.80805110,0.11238431,0.84997704
false,4,26,18.46943540,0.11118884,0.85039682
false,4,27,18.95057050,0.11255089,0.85101278
false,4,28,18.92716750,0.11376441,0.85320632
false,4,29,18.86418100,0.11373543,0.85668104
false,4,30,18.82897470,0.11275226,0.85245808
false,4,31,18.88413880,0.11316816,0.85827954
false,4,32,18.95618680,0.11382605,0.85949130
false,8,1,50.03894660,0.40751463,0.82904268
false,8,2,29.09287570,0.20720651,0.82812032
false,8,3,24.59558010,0.16758509,0.83037320
false,8,4,18.04158720,0.10602535,0.83022117
false,8,5,15.37258780,0.09103180,0.83076377
false,8,6,12.80714710,0.07123946,0.82982380
false,8,7,11.84946800,0.06145931,0.83172258
false,8,8,11.46401890,0.05793208,0.83520019
false,8,9,11.49012390,0.05827012,0.83503597
false,8,10,11.52777900,0.05803156,0.83536561
false,8,11,11.50526720,0.05838827,0.83363203
false,8,12,11.30600410,0.05687351,0.82862044
false,8,13,11.80229470,0.06075125,0.83653931
false,8,14,11.80347000,0.06024285,0.83717754
false,8,15,11.66392480,0.05979015,0.84095041
false,8,16,11.38405150,0.05736654,0.83310567
false,8,17,11.81861640,0.06123602,0.83975600
false,8,18,11.84227080,0.06111702,0.84080862
false,8,19,11.72584450,0.06054956,0.83974969
false,8,20,11.91108890,0.06163323,0.84336576
false,8,21,11.90017940,0.06215760,0.83959941
false,8,22,11.90662750,0.06156255,0.84704023
false,8,23,11.78713130,0.06075717,0.85306595
false,8,24,12.09104480,0.06343541,0.85138491
false,8,25,12.46936250,0.06519282,0.85087440
false,8,26,12.20194370,0.06292357,0.85154119
false,8,27,12.29602220,0.06385859,0.85141382
false,8,28,12.05498750,0.06278031,0.85705601
false,8,29,12.11744550,0.06370545,0.85603637
false,8,30,12.30029450,0.06378974,0.86468052
false,8,31,12.41266850,0.06546974,0.86409855
false,8,32,12.03972170,0.06264531,0.86029685
false,12,1,49.99689570,0.40770810,0.84044009
false,12,2,28.55304890,0.20515253,0.82950244
false,12,3,23.73009940,0.16057042,0.83392239
false,12,4,17.87563830,0.10528800,0.83095060
false,12,5,15.23304870,0.08904105,0.83712372
false,12,6,13.05074580,0.07256260,0.83959287
false,12,7,11.93813540,0.06241456,0.83823551
false,12,8,11.03683160,0.05427690,0.83523504
false,12,9,10.38119850,0.04847351,0.84225648
false,12,10,9.99630440,0.04486384,0.84082323
false,12,11,9.35707090,0.04179796,0.84390505
false,12,12,9.72166080,0.04420606,0.84881203
false,12,13,9.82129720,0.04440118,0.85187864
false,12,14,9.93344630,0.04574209,0.84566952
false,12,15,9.80105720,0.04418704,0.84951150
false,12,16,9.97875190,0.04555625,0.84668514
false,12,17,9.82983700,0.04469481,0.84652010
false,12,18,10.03475630,0.04595231,0.85090544
false,12,19,9.94486680,0.04538916,0.84865921
false,12,20,10.24747990,0.04709236,0.84962631
false,12,21,10.31973310,0.04791946,0.85809828
false,12,22,10.25428980,0.04679146,0.85781158
false,12,23,10.45234460,0.04756919,0.85311548
false,12,24,11.03029940,0.05254065,0.86109007
false,12,25,10.67027010,0.04896692,0.85371547
false,12,26,10.57116050,0.04793189,0.85969592
false,12,27,10.20294550,0.04646828,0.86609021
false,12,28,10.59896510,0.04990244,0.86201975
false,12,29,10.45224850,0.04897389,0.86630996
false,12,30,10.56167780,0.04976709,0.86901203
false,12,31,10.42156770,0.04824427,0.86894892
false,12,32,10.44153780,0.04847457,0.86529414
false,16,1,50.82580460,0.40866281,0.84725520
false,16,2,28.62502900,0.20508466,0.83777254
