dynamic,busy,threads,energy,runtime,usertime
false,1,1,2.86839260,0.41805642,0.83499944
false,1,2,3.36940270,0.20332135,0.41194884
false,1,3,4.56849080,0.21766740,0.45347292
false,1,4,3.12861170,0.19867811,0.41948163
false,1,5,3.08714050,0.19679739,0.42696839
false,1,6,2.88317320,0.19579481,0.42751987
false,1,7,2.95740940,0.19866212,0.44021929
false,1,8,3.05121700,0.19553115,0.43971032
false,1,9,2.81093870,0.19504318,0.44185149
false,1,10,2.99028420,0.20048776,0.45784982
false,1,11,2.42889650,0.19572445,0.45526771
false,1,12,3.12184640,0.20604781,0.47676652
false,1,13,2.72074700,0.19986896,0.46481456
false,1,14,2.62922490,0.19997765,0.46859895
false,1,15,3.09585130,0.19949351,0.47050345
false,1,16,2.80447230,0.19506465,0.46672852
false,3,1,2.68976260,0.19489549,0.40551360
false,3,2,1.99251000,0.10626453,0.43549511
false,3,3,1.75787730,0.09420096,0.46396782
false,3,4,1.71678600,0.08934699,0.48240570
false,3,5,1.69208320,0.08875838,0.49648509
false,3,6,1.73106300,0.09034792,0.50059825
false,3,7,1.64262130,0.08640388,0.50622051
false,3,8,1.60629220,0.08655994,0.51124874
false,3,9,1.59717080,0.08793181,0.48749382
false,3,10,1.51826250,0.07966614,0.49573275
false,3,11,1.56258400,0.08373832,0.50301078
false,3,12,1.54328410,0.08793571,0.49810710
false,3,13,1.52806420,0.07937176,0.50876897
false,3,14,1.82494690,0.09513945,0.53664506
false,3,15,1.76646890,0.09388365,0.51504195
false,3,16,1.66675810,0.09001517,0.51389556
false,5,1,2.62671970,0.19670757,0.42336512
false,5,2,2.09786070,0.10590655,0.44896930
false,5,3,1.52832800,0.08162345,0.48262336
false,5,4,1.25961200,0.06433708,0.52420719
false,5,5,1.19853270,0.06194401,0.54183057
false,5,6,1.17690440,0.06094909,0.55489412
false,5,7,1.13327430,0.05779562,0.55288946
false,5,8,1.05990910,0.05643093,0.56397710
false,5,9,1.08391920,0.05647263,0.56626099
false,5,10,1.04307650,0.05465022,0.56917301
false,5,11,1.04283700,0.05563481,0.56509257
false,5,12,1.06955680,0.05646059,0.56276661
false,5,13,1.17363760,0.06024061,0.55569124
false,5,14,1.15794940,0.06013770,0.55441538
false,5,15,1.16251620,0.06099864,0.55975788
false,5,16,1.14474670,0.05708023,0.55255245
false,7,1,2.91843270,0.20114453,0.45089330
false,7,2,2.00543960,0.10856412,0.48386404
false,7,3,1.52894920,0.08538929,0.48537456
false,7,4,1.23538240,0.06272418,0.52603736
false,7,5,1.10839430,0.05684280,0.54492892
false,7,6,0.95185970,0.04897808,0.57195291
false,7,7,0.82286240,0.04235843,0.58925440
false,7,8,0.81559490,0.04234964,0.59422974
false,7,9,0.81871360,0.04336773,0.59574010
false,7,10,0.85813420,0.04451488,0.59017791
false,7,11,0.89115730,0.04589636,0.58466244
false,7,12,0.92534440,0.04803171,0.57611475
false,7,13,0.95009740,0.04965249,0.57817761
false,7,14,0.86168960,0.04481499,0.59251547
false,7,15,0.88561410,0.04698131,0.58386384
false,7,16,0.90911120,0.04691912,0.58295578
false,9,1,2.25808640,0.19506788,0.44533652
false,9,2,1.89710650,0.10262909,0.45463666
false,9,3,1.64565630,0.08669218,0.48567084
false,9,4,1.22128390,0.06025434,0.51366666
false,9,5,1.07380910,0.05303917,0.52434085
false,9,6,0.91465130,0.04782637,0.55123237
false,9,7,0.82928160,0.04202432,0.59337613
false,9,8,0.76735850,0.03976459,0.60782841
false,9,9,0.78638970,0.04078562,0.60566590
false,9,10,0.79918520,0.04161173,0.60142087
false,9,11,0.83823940,0.04388962,0.60684697
false,9,12,0.82350790,0.04297868,0.59244095
false,9,13,0.85046890,0.04378949,0.59565496
false,9,14,0.83627270,0.04320021,0.59313672
false,9,15,0.83681130,0.04345653,0.59738200
false,9,16,0.82464760,0.04245023,0.59865377
false,11,1,2.20133730,0.19486940,0.45768034
false,11,2,1.81678090,0.10122972,0.45995140
false,11,3,1.56533210,0.09522237,0.49283553
false,11,4,1.22275800,0.06011064,0.52264539
false,11,5,1.03000500,0.05191843,0.54227524
false,11,6,0.88231070,0.04543198,0.55823151
false,11,7,0.82577060,0.04326710,0.59453606
false,11,8,0.77305120,0.04021839,0.60678037
false,11,9,0.77018410,0.03980336,0.60882152
false,11,10,0.77846480,0.04052514,0.60546993
false,11,11,0.78389190,0.04087592,0.60499061
false,11,12,0.77811380,0.04293953,0.61728229
false,11,13,0.78180340,0.04406166,0.62869745
false,11,14,0.78704590,0.04500280,0.64289654
false,11,15,0.76617400,0.04408838,0.63943884
false,11,16,0.77569240,0.04468437,0.64212559
false,13,1,2.69207880,0.19654650,0.47213440
false,13,2,2.17432770,0.10157589,0.47129219
false,13,3,1.60296440,0.08930350,0.49861328
false,13,4,1.22311940,0.06288601,0.52889317
false,13,5,1.08802040,0.05401583,0.53083547
false,13,6,0.89129750,0.04924068,0.56632599
false,13,7,0.84543830,0.04734626,0.63468774
false,13,8,0.74965910,0.04333954,0.64199184
false,13,9,0.72790390,0.04195411,0.64181207
false,13,10,0.72538820,0.04229478,0.64520176
false,13,11,0.74481630,0.04323867,0.64301376
false,13,12,0.73531500,0.04263447,0.64525872
false,13,13,0.74667900,0.04408543,0.64859586
false,13,14,0.76766790,0.04491254,0.65931586
false,13,15,0.73009840,0.04328187,0.65286890
false,13,16,0.72437990,0.04296902,0.65334235
false,15,1,3.11085750,0.19611885,0.47612037
false,15,2,1.85322270,0.10219749,0.46802491
false,15,3,1.49633980,0.08499427,0.50565445
false,15,4,1.11521340,0.06619979,0.52626303
false,15,5,1.06457490,0.06175194,0.57303878
false,15,6,0.95380340,0.05683172,0.60228286
false,15,7,0.85356300,0.04805122,0.59670195
false,15,8,0.73616810,0.04282210,0.64518223
false,15,9,0.70925420,0.04175790,0.64679589
false,15,10,0.75913890,0.04495198,0.66182618
false,15,11,0.81841630,0.04923689,0.68520860
false,15,12,0.81152290,0.04797110,0.68479187
false,15,13,0.77235080,0.04603962,0.67899885
false,15,14,0.74035490,0.04452409,0.67564052
false,15,15,0.75659070,0.04510052,0.66358264
false,15,16,0.74088590,0.04358537,0.66803683
