dynamic,busy,threads,energy,runtime,usertime
false,1,1,6.60784440,0.71187598,1.42062661
false,1,2,7.39815700,0.43062335,0.89282731
false,1,3,7.80110260,0.42112673,0.91303212
false,1,4,7.05072200,0.41309952,0.94435440
false,1,5,6.97720260,0.41387366,0.97664566
false,1,6,6.77167730,0.43096151,1.02582673
false,1,7,6.35107240,0.41700943,1.03356906
false,1,8,6.57730420,0.41660579,1.06790952
false,1,9,7.39403300,0.43631644,1.11503299
false,1,10,6.54786990,0.41804403,1.11796075
false,1,11,6.93476720,0.43446446,1.17126280
false,1,12,7.18928890,0.42322276,1.15578953
false,1,13,8.25834830,0.47511110,1.26424366
false,1,14,8.01926920,0.47210549,1.27887736
false,1,15,6.98777960,0.44617309,1.23412826
false,1,16,7.27819240,0.45077273,1.29504172
false,3,1,7.44669470,0.44943853,0.96448106
false,3,2,4.76005480,0.26282243,1.08296443
false,3,3,4.42541650,0.23062701,1.18891755
false,3,4,4.35213230,0.22796229,1.26304393
false,3,5,3.86415860,0.20817594,1.25439323
false,3,6,3.94335410,0.20976005,1.29080975
false,3,7,3.92357030,0.20151058,1.29673388
false,3,8,4.06102970,0.22288385,1.32347662
false,3,9,4.01250000,0.21469318,1.36014686
false,3,10,3.92648290,0.19782719,1.36649733
false,3,11,4.18707290,0.21958345,1.36236416
false,3,12,4.05476320,0.19750221,1.39919532
false,3,13,3.82334950,0.20125661,1.39019059
false,3,14,4.01622750,0.21281752,1.34385516
false,3,15,4.26890450,0.22821492,1.40600727
false,3,16,4.21295210,0.25371050,1.60454489
false,5,1,8.74608540,0.45709739,1.05754726
false,5,2,4.80606250,0.25978183,1.15136091
false,5,3,3.85310430,0.20721965,1.27964995
false,5,4,3.24945480,0.17214846,1.39712179
false,5,5,2.94098260,0.15592396,1.42516342
false,5,6,3.01191080,0.15752411,1.50970466
false,5,7,2.82171540,0.14976014,1.47715417
false,5,8,2.81051780,0.14732008,1.49993496
false,5,9,3.02374020,0.15825100,1.57118153
false,5,10,2.92108310,0.15264454,1.57534715
false,5,11,2.96707660,0.15565860,1.55512151
false,5,12,3.08445060,0.15932053,1.53935019
false,5,13,2.98181620,0.15711267,1.50849329
