dynamic,busy,threads,energy,runtime,usertime
false,0,1,3.76046990,0.48919619,0.22476041
false,0,2,2.73308470,0.38625750,0.30275792
false,0,3,2.28305900,0.36677375,0.34354799
false,0,4,1.99461730,0.30806292,0.35273035
false,0,5,1.87226650,0.29487037,0.35182008
false,0,6,2.51570250,0.28324687,0.31346201
false,0,7,1.89610710,0.27017949,0.37417685
false,0,8,1.70482510,0.26707078,0.40113680
false,0,9,1.65621770,0.26038157,0.41407781
false,0,10,2.01416130,0.26354749,0.37447331
false,0,11,2.48663130,0.24263171,0.32318517
false,0,12,1.92409030,0.25148902,0.42458720
false,0,13,1.80271580,0.24450152,0.40066891
false,0,14,1.99524590,0.23794921,0.36867834
false,0,15,2.18861510,0.24039531,0.40632317
false,0,16,2.31044120,0.23326058,0.35847868
false,2,1,9.44044200,0.45929599,0.19611094
false,2,2,7.77987870,0.33389821,0.19839159
false,2,3,6.58379190,0.32263833,0.19755121
false,2,4,5.53207480,0.27406929,0.21131207
false,2,5,5.60930000,0.28059331,0.22013704
false,2,6,5.51704560,0.27711044,0.21837668
false,2,7,4.92429060,0.24713485,0.23161864
false,2,8,4.84348730,0.24259222,0.23666448
false,2,9,4.98970770,0.25069072,0.23080948
false,2,10,4.72940930,0.23620780,0.24290389
false,2,11,4.66347190,0.23448803,0.24936102
false,2,12,4.72595030,0.23645701,0.25293007
false,2,13,4.65231220,0.23250144,0.25249414
false,2,14,4.62023530,0.23141889,0.24980350
false,2,15,4.55546810,0.22918556,0.26814968
false,2,16,4.49605970,0.22502715,0.25430496
false,4,1,9.54141630,0.47857676,0.21439612
false,4,2,6.85074430,0.34307371,0.21723131
false,4,3,7.25213500,0.36379210,0.21864970
false,4,4,5.48539900,0.27480908,0.22048169
false,4,5,6.02234330,0.30152101,0.22565031
false,4,6,5.39787600,0.27062326,0.23289542
false,4,7,4.95037570,0.24795008,0.23840507
false,4,8,4.86866150,0.24398390,0.24501888
false,4,9,4.77549910,0.23946731,0.24403511
false,4,10,4.74005330,0.23751908,0.25349520
false,4,11,4.70832890,0.23595093,0.26311011
false,4,12,4.69864320,0.23403569,0.27109838
false,4,13,4.57953920,0.23215307,0.27359966
false,4,14,4.20042210,0.23191208,0.27716847
false,4,15,4.03071350,0.23108073,0.29829900
false,4,16,3.82217320,0.22709682,0.28994388
false,6,1,8.31344950,0.51327349,0.24786890
false,6,2,5.68835020,0.36201041,0.25358467
false,6,3,5.34224990,0.34437460,0.25669641
false,6,4,4.38187630,0.28521295,0.26068078
false,6,5,4.56963070,0.30017643,0.26719106
false,6,6,3.98830380,0.26229542,0.28046792
false,6,7,3.84946830,0.25547406,0.28973570
false,6,8,3.77572330,0.25049737,0.29366689
false,6,9,3.68520520,0.24469891,0.28772823
false,6,10,3.72592120,0.24761310,0.29828786
false,6,11,3.73856550,0.24911566,0.30376748
false,6,12,3.60012520,0.23982250,0.31182666
false,6,13,3.53730190,0.23621845,0.32285305
false,6,14,3.56717700,0.23687534,0.32873996
false,6,15,3.47913060,0.23316800,0.33062221
false,6,16,3.43851390,0.22952555,0.32558113
false,8,1,8.03727360,0.53659836,0.27953156
false,8,2,5.77191990,0.38506715,0.29717373
false,8,3,5.34043280,0.35710250,0.29204474
false,8,4,4.36885830,0.29152300,0.28377470
false,8,5,4.80276670,0.32149968,0.28591229
false,8,6,4.00191700,0.26663657,0.28801023
false,8,7,3.90068480,0.25974241,0.31213483
false,8,8,3.78080270,0.25317076,0.32004417
false,8,9,3.69800360,0.24720692,0.30475973
false,8,10,3.71678480,0.24818862,0.30542700
false,8,11,3.61299520,0.24068231,0.32145398
false,8,12,3.65045370,0.24370905,0.32622870
false,8,13,3.53747730,0.23669385,0.33304064
false,8,14,3.57073660,0.23801931,0.33816671
false,8,15,3.52874520,0.23558586,0.35269600
false,8,16,3.45296020,0.23091584,0.34152943
false,10,1,8.54611720,0.57092655,0.30406340
false,10,2,5.72993280,0.38271579,0.29529459
false,10,3,5.24187830,0.35037280,0.30128017
false,10,4,4.53553360,0.30295855,0.32569660
false,10,5,4.37695560,0.29232167,0.30669839
false,10,6,4.08602520,0.27326594,0.30354962
false,10,7,3.87425340,0.25832267,0.30796828
false,10,8,3.82616770,0.25559937,0.31919440
false,10,9,3.80223870,0.25348020,0.32787822
false,10,10,3.74420940,0.25059857,0.32318501
false,10,11,3.65113570,0.24416156,0.32526913
false,10,12,3.59427830,0.23993914,0.32913342
false,10,13,3.78595990,0.25269022,0.34327703
false,10,14,3.83567810,0.25621865,0.34624088
false,10,15,3.54210050,0.23564973,0.35257222
false,10,16,3.49511660,0.23476927,0.35828806
false,12,1,8.97055510,0.59916765,0.32298974
false,12,2,6.08913210,0.40685287,0.32102671
false,12,3,5.20575960,0.34712818,0.33403162
false,12,4,4.58361610,0.30670075,0.33146675
false,12,5,5.03136210,0.33627333,0.32825617
false,12,6,4.45408940,0.29707017,0.33437300
false,12,7,3.96882860,0.26521393,0.33586187
false,12,8,3.80319840,0.25396617,0.32346654
false,12,9,3.76898240,0.25165658,0.32420601
false,12,10,3.78276180,0.25238221,0.32714453
false,12,11,3.85726670,0.25723544,0.34307832
false,12,12,3.87525280,0.25898099,0.34076710
false,12,13,3.83966650,0.25587482,0.33931547
false,12,14,3.63993320,0.24359159,0.35337106
false,12,15,3.53611630,0.23603515,0.34961738
false,12,16,3.59895930,0.23997272,0.35150253
false,14,1,9.26891610,0.61951942,0.33155694
false,14,2,6.33290150,0.42322202,0.33521665
false,14,3,5.62348090,0.37559482,0.33745955
false,14,4,4.90898230,0.32774568,0.34039592
false,14,5,4.77989040,0.31941932,0.33830755
false,14,6,5.11500640,0.34149954,0.36170761
false,14,7,4.17410660,0.27854225,0.34254347
false,14,8,4.83298990,0.32235081,0.36211418
false,14,9,4.06066350,0.27159433,0.34591711
false,14,10,4.10442030,0.27393748,0.34286919
false,14,11,3.97108980,0.26489070,0.35323504
false,14,12,4.28195940,0.28592036,0.35225061
false,14,13,3.94139020,0.26301631,0.34954410
false,14,14,3.73117150,0.24922413,0.34794965
false,14,15,3.87263610,0.25846199,0.35202472
false,14,16,3.80208150,0.25383125,0.35142297
false,16,1,14.08202780,0.94038082,0.33905008
false,16,2,8.68720790,0.58019400,0.34467819
false,16,3,7.91606710,0.52876328,0.34796655
false,16,4,5.97500230,0.39898499,0.34222840
false,16,5,5.51865840,0.36852223,0.34497134
false,16,6,4.98611300,0.33318410,0.33915460
false,16,7,4.72557500,0.31567525,0.34064211
false,16,8,4.55434210,0.30409357,0.34533846
false,16,9,4.47072070,0.29861077,0.34556977
false,16,10,4.46040930,0.29788373,0.34935460
