dynamic,busy,threads,energy,runtime,usertime
false,0,1,4.49914925,0.31741021,0.31736765
false,0,2,2.62558655,0.15902287,0.31743557
false,0,3,2.07684588,0.11282075,0.31762120
false,0,4,1.68904109,0.07971657,0.31764274
false,0,5,1.52483435,0.06838571,0.31801671
false,0,6,1.39667916,0.05709245,0.31804940
false,0,7,1.28793554,0.04648215,0.31833346
false,0,8,1.22572746,0.03989640,0.31820428
false,0,9,1.13392715,0.03688723,0.32070060
false,0,10,1.04175393,0.03290882,0.32248191
false,0,11,0.97382564,0.03020687,0.32389901
false,0,12,0.91079845,0.02749966,0.32522718
false,0,13,0.86764549,0.02547353,0.32646438
false,0,14,0.81913792,0.02351757,0.32722813
false,0,15,0.78542768,0.02207789,0.32873078
false,0,16,0.75182546,0.02066211,0.32906804
false,2,1,5.74951899,0.31740275,0.31736834
false,2,2,3.26027974,0.15905300,0.31743851
false,2,3,2.58124889,0.11535417,0.31767067
false,2,4,2.04276027,0.07968772,0.31765257
false,2,5,1.83495319,0.06811678,0.31792014
false,2,6,1.64581303,0.05557155,0.31806642
false,2,7,1.43608152,0.04687129,0.32088385
false,2,8,1.28161598,0.04054250,0.32292927
false,2,9,1.18303042,0.03680964,0.32472433
false,2,10,1.09079616,0.03307548,0.32485966
false,2,11,1.01120042,0.03040721,0.32722835
false,2,12,0.95440552,0.02804131,0.32741820
false,2,13,0.88971330,0.02544734,0.32807842
false,2,14,0.84950955,0.02351204,0.32792036
false,2,15,0.87638142,0.02498322,0.32872812
false,2,16,0.87280660,0.02448732,0.32895079
false,4,1,7.26495638,0.31740870,0.31737879
false,4,2,3.93592560,0.15904018,0.31743737
false,4,3,3.05057385,0.11459475,0.31762979
false,4,4,2.36711675,0.07967357,0.31767149
false,4,5,2.06641195,0.07005116,0.32158148
false,4,6,1.74564005,0.05728436,0.32425503
false,4,7,1.48776292,0.04692751,0.32620746
false,4,8,1.33345789,0.04076099,0.32417083
false,4,9,1.22934439,0.03703733,0.32730653
false,4,10,1.13235550,0.03318762,0.32571235
false,4,11,1.05986790,0.03067382,0.32682601
false,4,12,0.99814869,0.02805247,0.32679391
false,4,13,1.06748262,0.03002727,0.32742172
false,4,14,1.02494549,0.02910288,0.32792933
false,4,15,1.03727152,0.02963570,0.32820858
false,4,16,1.01165451,0.02848054,0.32864986
false,6,1,8.58010743,0.31739065,0.31736507
false,6,2,4.67925744,0.15907719,0.31754579
false,6,3,4.08068170,0.14077175,0.31898497
false,6,4,2.50093110,0.08074739,0.32015564
false,6,5,2.27351226,0.07323192,0.32065745
false,6,6,1.83758135,0.05713685,0.32351499
false,6,7,1.55087250,0.04654572,0.32363818
false,6,8,1.38897655,0.04065291,0.32361765
false,6,9,1.26678327,0.03635063,0.32527210
false,6,10,1.19346862,0.03341672,0.32529623
false,6,11,1.21497430,0.03435145,0.32563899
false,6,12,1.21144465,0.03426053,0.32601765
false,6,13,1.21713922,0.03442126,0.32643177
false,6,14,1.21578058,0.03441832,0.32675641
false,6,15,1.21820245,0.03448933,0.32730596
false,6,16,1.19801390,0.03360848,0.32770799
false,8,1,9.75157965,0.32235302,0.32235769
false,8,2,5.00220886,0.16142304,0.32239018
false,8,3,3.99245620,0.12722928,0.32256296
false,8,4,2.63257931,0.08086881,0.32261796
false,8,5,2.27326627,0.06876922,0.32257981
false,8,6,1.85759534,0.05463455,0.32271088
false,8,7,1.61529250,0.04637756,0.32306638
false,8,8,1.44824641,0.04044079,0.32292819
false,8,9,1.46264518,0.04108296,0.32339788
false,8,10,1.57391686,0.04369053,0.32409337
false,8,11,1.46465750,0.04111914,0.32437092
false,8,12,1.47838855,0.04161319,0.32493641
false,8,13,1.46389762,0.04115706,0.32532968
false,8,14,1.46976797,0.04140703,0.32583893
false,8,15,1.47110768,0.04145314,0.32628180
false,8,16,1.43896361,0.04040399,0.32705689
false,10,1,10.00370975,0.32234080,0.32233712
false,10,2,5.13019073,0.16141918,0.32238407
false,10,3,4.14382300,0.12834750,0.32246223
false,10,4,2.76930505,0.08083906,0.32252608
false,10,5,2.35677497,0.06956879,0.32259134
false,10,6,2.26826263,0.06423895,0.32312824
false,10,7,1.98736796,0.05733588,0.32322057
false,10,8,1.89537478,0.05445497,0.32356230
false,10,9,1.88862675,0.05411627,0.32404846
false,10,10,1.87073557,0.05356197,0.32453508
false,10,11,1.87382699,0.05370835,0.32495222
false,10,12,1.85605848,0.05321369,0.32547319
false,10,13,1.82730611,0.05230782,0.32598808
false,10,14,1.83293415,0.05203894,0.32665675
false,10,15,1.81300928,0.05165441,0.32699705
