dynamic,busy,threads,energy,runtime,usertime
false,0,1,52.58183870,3.52225769,3.52208888
false,0,2,33.14101625,1.75996532,3.51243020
false,0,3,26.81817480,1.19865829,3.50931530
false,0,4,22.98528965,0.88093548,3.51011001
false,0,5,21.27444810,0.71929882,3.50909136
false,0,6,19.96991645,0.59924560,3.52050524
false,0,7,19.03931590,0.51861203,3.53643012
false,0,8,18.06492875,0.44459226,3.53167950
false,0,9,17.97862830,0.44056317,3.90960860
false,0,10,18.16700060,0.44157102,4.34195223
false,0,11,17.79318870,0.43247638,4.66657007
false,0,12,17.64629575,0.42539337,5.03723631
false,0,13,17.58646320,0.41969489,5.37766884
false,0,14,17.69323475,0.41826129,5.76446881
false,0,15,17.44835620,0.41216562,6.10537417
false,0,16,17.45947070,0.40798710,6.42923548
false,2,1,69.97473230,3.51568630,3.51559441
false,2,2,41.70207220,1.75977965,3.51256029
false,2,3,33.18797655,1.22710083,3.51811153
false,2,4,27.42206420,0.88298035,3.51393516
false,2,5,24.64285380,0.70775452,3.51055427
false,2,6,22.94208300,0.60944557,3.51840376
false,2,7,22.55713220,0.58670879,4.03015700
false,2,8,22.26775915,0.57460742,4.54983129
false,2,9,22.28229160,0.56599371,5.02253260
false,2,10,20.79655015,0.50966789,5.04354854
false,2,11,20.69927865,0.50373995,5.48359618
false,2,12,20.43485370,0.49629918,5.88524791
false,2,13,19.70449360,0.46021132,5.90355491
false,2,14,19.27262830,0.45124286,6.22746364
false,2,15,19.66986235,0.46624336,6.21126834
false,2,16,19.25699720,0.44580880,6.22488973
false,4,1,89.16065435,3.51395489,3.51386044
false,4,2,50.94026265,1.76729347,3.53129932
false,4,3,43.14873295,1.39351960,3.53517675
false,4,4,33.27343470,0.90699687,3.57985115
false,4,5,32.82339615,0.88122331,4.08477887
false,4,6,28.84185120,0.76932057,4.33819886
false,4,7,27.71989670,0.73140950,5.00840645
false,4,8,27.53190285,0.72334694,5.64232193
false,4,9,24.73203820,0.62523760,5.53313345
false,4,10,21.97900565,0.52552644,5.10867240
false,4,11,22.56766070,0.54103603,5.88941347
false,4,12,21.66710150,0.51768523,5.81944159
false,4,13,21.62145345,0.50026295,5.88105049
false,4,14,21.31398045,0.49692058,5.89305118
false,4,15,21.41057450,0.50324320,5.94502398
false,4,16,20.85413060,0.48311732,5.91738184
false,6,1,107.10239310,3.51848293,3.51835786
false,6,2,60.77251290,1.76794228,3.53070303
false,6,3,50.19189725,1.44017689,3.83769526
false,6,4,50.08231195,1.43164220,5.31594978
false,6,5,36.60320525,0.99692817,4.95471999
false,6,6,29.96452590,0.76885983,4.56244213
false,6,7,31.60220485,0.82596001,5.67038857
false,6,8,28.21399640,0.71354749,5.53290523
false,6,9,25.46685985,0.61847230,5.51315850
false,6,10,23.97864040,0.56552051,5.41813834
false,6,11,23.44388530,0.55238336,5.44710485
false,6,12,23.73823875,0.55503422,5.51633829
false,6,13,23.33042125,0.54885398,5.51773403
false,6,14,22.59036580,0.52870871,5.61904732
false,6,15,22.80361900,0.53676251,5.59802673
false,6,16,22.27890720,0.51785801,5.71663260
false,8,1,159.12103125,4.83161147,4.83160447
false,8,2,84.95776895,2.47154459,4.89672759
false,8,3,64.65698475,1.82671189,4.84698781
false,8,4,45.38851905,1.23495729,4.92218596
false,8,5,37.35414325,0.97780224,4.86221710
false,8,6,33.29661580,0.84061350,4.92371452
false,8,7,29.21035310,0.70643975,4.89456091
false,8,8,26.05784955,0.61422311,4.85962985
false,8,9,25.78377800,0.60600138,4.93954264
false,8,10,25.37711405,0.59760338,5.01910473
false,8,11,25.08749985,0.59013802,5.11652654
false,8,12,24.91963225,0.58773464,5.17595260
false,8,13,24.57902645,0.57684319,5.26254530
false,8,14,24.47574605,0.57615428,5.31758469
false,8,15,24.28127630,0.56973227,5.35913118
false,8,16,23.79293535,0.55546154,5.44016793
false,10,1,166.67597100,4.88947188,4.88945427
false,10,2,87.33319620,2.46481859,4.91896864
false,10,3,60.99987435,1.66444425,4.87171364
