dynamic,busy,threads,energy,runtime,usertime
false,0,1,7.57791150,0.57679504,0.32016670
false,0,2,6.11700822,0.44376148,0.42361902
false,0,3,6.45506892,0.50063158,0.60528976
false,0,4,5.33507788,0.41405375,0.77328477
false,0,5,4.91106038,0.41525952,0.76176440
false,0,6,4.41851776,0.36344818,0.77863410
false,0,7,4.10692430,0.33360422,0.77497087
false,0,8,3.64019454,0.31565994,0.78261657
false,0,9,3.46554532,0.30838160,0.78609614
false,0,10,3.75242936,0.29546964,0.73939651
false,0,11,3.67823644,0.30249423,0.80247296
false,0,12,3.13261652,0.28414976,0.79204226
false,0,13,3.04447584,0.27543135,0.80515397
false,0,14,2.89411980,0.27209579,0.81147079
false,0,15,2.94535014,0.26601769,0.78787776
false,0,16,2.61837098,0.26151658,0.81684684
false,2,1,10.03067744,0.57664009,0.32000768
false,2,2,7.77474574,0.40116790,0.33858254
false,2,3,6.98031050,0.35464453,0.33741385
false,2,4,6.16558358,0.30492999,0.33910729
false,2,5,6.27393292,0.31222856,0.33274355
false,2,6,5.77348008,0.29348219,0.33362857
false,2,7,5.37580654,0.26890291,0.33407397
false,2,8,5.12903960,0.25685034,0.33984489
false,2,9,5.06361254,0.26139027,0.33977821
false,2,10,5.08304730,0.26224046,0.34039759
false,2,11,5.00487000,0.26146388,0.34159128
false,2,12,5.05637866,0.26371839,0.34184468
false,2,13,4.62400306,0.24117333,0.34067287
false,2,14,4.65414946,0.23514806,0.34060957
false,2,15,4.49489572,0.23514370,0.34152886
false,2,16,4.39454320,0.23130201,0.34039807
false,4,1,12.97777318,0.57653323,0.31985657
false,4,2,9.69280232,0.40147623,0.33898210
false,4,3,8.90890788,0.36277713,0.33943804
false,4,4,7.54416282,0.30495174,0.33794989
false,4,5,7.69250470,0.31950037,0.33647591
false,4,6,7.08495988,0.29722888,0.33540475
false,4,7,6.37097002,0.26657438,0.33978035
false,4,8,6.07737092,0.25625487,0.33747388
false,4,9,6.18524050,0.26353276,0.34022653
false,4,10,6.22913566,0.26622333,0.33887224
false,4,11,6.26832014,0.27103875,0.33804503
false,4,12,5.89383256,0.25312848,0.33769218
false,4,13,5.59758822,0.23778199,0.33741249
false,4,14,5.46381536,0.23484094,0.33704008
false,4,15,5.39912802,0.23288945,0.33666047
false,4,16,5.36258638,0.23120702,0.33665813
false,6,1,15.78258166,0.57656346,0.31997359
false,6,2,11.52972878,0.40092601,0.33740908
false,6,3,10.13440276,0.35671928,0.33456836
false,6,4,8.66630104,0.30512202,0.33759455
false,6,5,8.86361866,0.31276833,0.33165697
false,6,6,7.82274486,0.27841651,0.33183925
false,6,7,7.31920000,0.26329360,0.33406487
false,6,8,7.05237818,0.25470635,0.33068319
false,6,9,7.08613786,0.25689723,0.33205754
false,6,10,6.83433430,0.24608779,0.33279855
false,6,11,6.72717518,0.24348448,0.33284211
false,6,12,6.64653940,0.23979311,0.33273804
false,6,13,6.67894408,0.23988778,0.33310583
false,6,14,6.51385174,0.23475371,0.33269736
false,6,15,6.45860408,0.23274465,0.33248925
false,6,16,6.40310006,0.23075616,0.33256257
false,8,1,18.01094754,0.58250053,0.32560194
false,8,2,12.28044098,0.39423307,0.32610110
false,8,3,12.43568960,0.39753859,0.32591473
false,8,4,9.45347068,0.29940016,0.32596136
false,8,5,9.38434730,0.29663190,0.32651280
false,8,6,8.85545464,0.27608773,0.32666440
false,8,7,8.28755692,0.26066926,0.32689746
false,8,8,8.05880628,0.25260712,0.32779306
false,8,9,8.04893082,0.25252752,0.32777729
false,8,10,8.23205534,0.25857247,0.32746128
false,8,11,8.08385626,0.25260520,0.32794615
false,8,12,7.95008462,0.24928330,0.32788817
false,8,13,7.55001486,0.23601418,0.32833861
false,8,14,7.50578766,0.23474277,0.32879001
false,8,15,7.44605516,0.23272029,0.32890921
false,8,16,7.34196850,0.22941865,0.32929215
false,10,1,18.68366310,0.58252329,0.32560789
false,10,2,12.73034582,0.39396915,0.32572420
false,10,3,11.74932296,0.36315846,0.32585763
false,10,4,9.75430362,0.29959761,0.32599257
false,10,5,9.69861042,0.29684613,0.32642725
false,10,6,9.48487440,0.29107051,0.32660806
false,10,7,8.75602496,0.26802582,0.32680196
false,10,8,8.28403762,0.25306985,0.32692284
false,10,9,8.39101122,0.25632341,0.32731278
false,10,10,8.38686694,0.25630164,0.32755164
false,10,11,8.44912510,0.25500338,0.32823899
false,10,12,8.14947498,0.24866264,0.32826494
false,10,13,7.84807562,0.23894562,0.32871510
false,10,14,7.73892182,0.23528349,0.32922535
false,10,15,7.66482778,0.23314919,0.32937739
false,10,16,7.59893318,0.23084515,0.33009851
false,12,1,19.31915096,0.58266319,0.32563388
false,12,2,13.18462202,0.39395985,0.32574218
false,12,3,14.19627470,0.42511492,0.32578744
false,12,4,10.12377534,0.29948780,0.32600778
false,12,5,10.21444528,0.30177735,0.32646095
false,12,6,9.81136404,0.28966894,0.32659344
false,12,7,8.96924584,0.26442225,0.32677500
false,12,8,8.58898314,0.25302599,0.32709113
false,12,9,8.74549398,0.25654635,0.32774885
false,12,10,8.75076250,0.25596956,0.32844522
false,12,11,8.53237928,0.25006497,0.32887127
false,12,12,8.26428428,0.24223455,0.32884929
false,12,13,8.09797120,0.23672795,0.32905275
false,12,14,8.06073620,0.23569893,0.32984633
false,12,15,7.99154690,0.23335542,0.33019449
false,12,16,8.02984762,0.23161491,0.33090482
