dynamic,busy,threads,energy,runtime,usertime
false,0,1,1.12301458,0.07149722,0.07147501
false,0,2,0.73890313,0.03591104,0.07162846
false,0,3,0.73898639,0.03593113,0.07167685
false,0,4,0.52286329,0.01802904,0.07173439
false,0,5,0.48464854,0.01455710,0.07193278
false,0,6,0.48349010,0.01453574,0.07195590
false,0,7,0.45828887,0.01217153,0.07207169
false,0,8,0.42065493,0.00908161,0.07211706
false,0,9,0.47301039,0.01304857,0.08035783
false,0,10,0.51013419,0.01483332,0.10489267
false,0,11,0.51453152,0.01483803,0.11115851
false,0,12,0.48682919,0.01351444,0.11500801
false,0,13,0.47442774,0.01235748,0.12772290
false,0,14,0.46473440,0.01141246,0.13023845
false,0,15,0.45514178,0.01058000,0.13989528
false,0,16,0.43836606,0.00924511,0.14727023
false,2,1,1.47177052,0.07149893,0.07147703
false,2,2,0.88490263,0.03591285,0.07162558
false,2,3,0.88507720,0.03598312,0.07174866
false,2,4,0.61386843,0.01848501,0.07226946
false,2,5,0.55513994,0.01461821,0.07203157
false,2,6,0.56058401,0.01489348,0.07279161
false,2,7,0.55039142,0.01426581,0.07641727
false,2,8,0.62911619,0.01841929,0.10812558
false,2,9,0.62857176,0.01842542,0.11380277
false,2,10,0.56612843,0.01475863,0.12888371
false,2,11,0.56893031,0.01475996,0.13292636
false,2,12,0.54044747,0.01343303,0.13400882
false,2,13,0.52527014,0.01228870,0.14028962
false,2,14,0.50789909,0.01169759,0.14060452
false,2,15,0.49224899,0.01073125,0.14474860
false,2,16,0.58835409,0.01674961,0.14354419
false,4,1,1.79294011,0.07150160,0.07147643
false,4,2,1.05789073,0.03588746,0.07161876
false,4,3,1.05900241,0.03591997,0.07169019
false,4,4,0.68927021,0.01800629,0.07178637
false,4,5,0.94924025,0.02906884,0.10362757
false,4,6,0.91851852,0.02849993,0.10162479
false,4,7,0.82818086,0.02444908,0.11776674
false,4,8,0.71650988,0.01832966,0.14577192
false,4,9,0.70571340,0.01836697,0.13707902
false,4,10,0.61867445,0.01472458,0.14405909
false,4,11,0.60895315,0.01470077,0.13703415
false,4,12,0.57537255,0.01346717,0.13558033
false,4,13,0.63095175,0.01512178,0.14132606
false,4,14,0.70983925,0.01972814,0.14121807
false,4,15,0.68738227,0.01900882,0.14060049
false,4,16,0.63779109,0.01685443,0.13967155
false,6,1,2.11792512,0.07156431,0.07154158
false,6,2,1.24673509,0.03638444,0.07221215
false,6,3,1.29316454,0.03844211,0.07552156
false,6,4,1.24543834,0.03651717,0.13728553
false,6,5,1.05072742,0.02923797,0.14259307
false,6,6,1.02859343,0.02912659,0.12846646
false,6,7,0.90013332,0.02413859,0.13505100
false,6,8,0.74640813,0.01831330,0.13899961
false,6,9,0.73650080,0.01848016,0.13340185
false,6,10,0.63951460,0.01472619,0.13839729
false,6,11,0.64365631,0.01491066,0.13811593
false,6,12,0.85579627,0.02314107,0.13740189
false,6,13,0.82802242,0.02215045,0.13725041
false,6,14,0.80302102,0.02057995,0.13639445
false,6,15,0.75214492,0.01923463,0.13625158
false,6,16,0.69911393,0.01727518,0.13523548
false,8,1,4.13633243,0.13221447,0.13222114
false,8,2,2.18155044,0.06622878,0.13234744
false,8,3,2.18038004,0.06616974,0.13233019
false,8,4,1.21498127,0.03315298,0.13244063
false,8,5,1.01532064,0.02654525,0.13250565
false,8,6,1.01624471,0.02655858,0.13258942
false,8,7,0.87971369,0.02210980,0.13258149
false,8,8,0.71456958,0.01672215,0.13266339
false,8,9,0.73171309,0.01728938,0.13283908
false,8,10,1.00674547,0.02627528,0.13302531
false,8,11,1.00660521,0.02625714,0.13321070
false,8,12,0.94533034,0.02421196,0.13315180
false,8,13,0.88623735,0.02231706,0.13335439
false,8,14,0.84696890,0.02102331,0.13360036
false,8,15,0.82282296,0.02021533,0.13383609
false,8,16,0.85847864,0.02096963,0.13419936
false,10,1,4.31370673,0.13219909,0.13220077
false,10,2,2.26464118,0.06616843,0.13229639
false,10,3,2.26204524,0.06617085,0.13233017
false,10,4,1.24276672,0.03313696,0.13242738
false,10,5,1.03475114,0.02652145,0.13247473
false,10,6,1.03447990,0.02658426,0.13260838
false,10,7,0.91036815,0.02257382,0.13266392
false,10,8,1.20139487,0.03187695,0.13272461
false,10,9,1.19713573,0.03173497,0.13290400
false,10,10,1.04148549,0.02679471,0.13272622
false,10,11,1.05059704,0.02704346,0.13307001
false,10,12,1.00410900,0.02559628,0.13310568
false,10,13,0.97732513,0.02471893,0.13345117
false,10,14,1.06455489,0.02749197,0.13388213
false,10,15,1.07635833,0.02748249,0.13442477
false,10,16,1.01192636,0.02578375,0.13449386
false,12,1,4.42402114,0.13218544,0.13219103
false,12,2,2.34341294,0.06621082,0.13232834
false,12,3,2.31950773,0.06620591,0.13234688
false,12,4,1.28821594,0.03373223,0.13247062
false,12,5,1.52108058,0.04106868,0.13277315
false,12,6,1.53121153,0.04150050,0.13283779
false,12,7,1.40675116,0.03768173,0.13318573
false,12,8,1.29118517,0.03414373,0.13268785
false,12,9,1.30765107,0.03461585,0.13342064
false,12,10,1.37654103,0.03680786,0.13446666
false,12,11,1.36654569,0.03633103,0.13498285
false,12,12,1.34628317,0.03570479,0.13480988
false,12,13,1.28793554,0.03406417,0.13548508
false,12,14,1.27641067,0.03369869,0.13586029
false,12,15,1.27776956,0.03373700,0.13606128
false,12,16,1.25286532,0.03296269,0.13665916
false,14,1,4.52319227,0.13226492,0.13220526
false,14,2,2.39647323,0.06656396,0.13234906
false,14,3,2.39307615,0.06649227,0.13240659
false,14,4,2.29683189,0.06386746,0.13324123
false,14,5,2.19150928,0.06070603,0.13451507
false,14,6,2.21448151,0.06114553,0.13518735
false,14,7,2.09202345,0.05775022,0.13589398
false,14,8,2.03816764,0.05617019,0.13684204
false,14,9,1.99681252,0.05496203,0.13702206
false,14,10,1.95869506,0.05387671,0.13777495
false,14,11,1.88729180,0.05175269,0.13806566
false,14,12,1.88397052,0.05151730,0.13905080
false,14,13,1.77885677,0.04843746,0.13920663
false,14,14,1.71094545,0.04653999,0.13966028
false,14,15,1.62862376,0.04398684,0.14002885
false,14,16,1.61308523,0.04364063,0.14079733
false,16,1,9.22248555,0.27119482,0.13227009
false,16,2,4.93745794,0.14145378,0.13573746
false,16,3,4.81072499,0.13923436,0.13267709
false,16,4,2.58899606,0.07254458,0.13309930
false,16,5,2.11486250,0.05815514,0.13383439
false,16,6,2.11612044,0.05829110,0.13429522
false,16,7,1.80903492,0.04919513,0.13443015
false,16,8,1.47183009,0.03938702,0.13871502
false,16,9,1.46568143,0.03925375,0.13853979
false,16,10,1.26899943,0.03348556,0.14080456
false,16,11,1.34847677,0.03596597,0.14175790
false,16,12,1.15016417,0.03004189,0.14398528
false,16,13,1.36446733,0.03642549,0.14191444
false,16,14,1.40320722,0.03744883,0.14220716
false,16,15,1.32125236,0.03508542,0.14228334
false,16,16,1.32168839,0.03506847,0.14249370
true,0,16,0.46610232,0.01098917,0.12545908
true,2,16,0.57486621,0.01556365,0.14013303
true,4,16,0.64917058,0.01688207,0.13932063
true,6,16,0.76873437,0.01971588,0.13510500
true,8,16,0.91067809,0.02304651,0.13360749
true,10,16,1.03564750,0.02656786,0.13397218
true,12,16,1.45178998,0.03883054,0.13448247
true,14,16,1.64916961,0.04483006,0.13922327
true,16,16,1.47016494,0.03933017,0.14013991
