dynamic,busy,threads,energy,runtime,usertime
false,0,1,0.41405106,0.02746018,0.02742330
false,0,2,0.25028928,0.01379294,0.02742996
false,0,3,0.20395871,0.00975724,0.02754398
false,0,4,0.17240398,0.00704734,0.02766839
false,0,5,0.16776190,0.00610972,0.02780584
false,0,6,0.15554196,0.00511985,0.02789218
false,0,7,0.14258765,0.00418263,0.02802737
false,0,8,0.13284317,0.00359066,0.02778637
false,0,9,0.13311892,0.00355715,0.03049806
false,0,10,0.13329898,0.00357130,0.03315914
false,0,11,0.12866910,0.00334176,0.03486223
false,0,12,0.12611357,0.00322686,0.03666043
false,0,13,0.12468071,0.00310696,0.03864870
false,0,14,0.12390361,0.00306638,0.04042323
false,0,15,0.12195892,0.00293470,0.04207459
false,0,16,0.11834369,0.00285058,0.04329266
false,2,1,0.52610839,0.02749767,0.02746188
false,2,2,0.31908743,0.01382949,0.02749792
false,2,3,0.27162760,0.01092567,0.02760563
false,2,4,0.20882954,0.00708896,0.02775090
false,2,5,0.19363756,0.00607542,0.02774054
false,2,6,0.17437162,0.00494418,0.02777024
false,2,7,0.16825677,0.00462268,0.03095975
false,2,8,0.15583725,0.00423026,0.03242419
false,2,9,0.14723095,0.00388065,0.03346711
false,2,10,0.15115513,0.00396626,0.03864178
false,2,11,0.14450146,0.00366778,0.03846773
false,2,12,0.13317654,0.00329229,0.03779230
false,2,13,0.13298049,0.00326408,0.03997015
false,2,14,0.12957303,0.00311229,0.04167181
false,2,15,0.13085367,0.00316664,0.04148597
false,2,16,0.13306814,0.00323061,0.04184899
false,4,1,0.65820657,0.02740075,0.02736886
false,4,2,0.37815516,0.01381121,0.02746837
false,4,3,0.33021656,0.01120880,0.02761688
false,4,4,0.23913965,0.00695615,0.02753220
false,4,5,0.23381703,0.00671534,0.03211672
false,4,6,0.20208322,0.00555967,0.03219810
false,4,7,0.19051196,0.00522524,0.03502211
false,4,8,0.18502516,0.00496375,0.03851596
false,4,9,0.17790751,0.00473674,0.04114837
false,4,10,0.16163960,0.00409370,0.03950373
false,4,11,0.14772130,0.00359336,0.03718129
false,4,12,0.13932875,0.00333705,0.03860735
false,4,13,0.14437170,0.00352141,0.03888890
false,4,14,0.16153780,0.00399835,0.04356179
false,4,15,0.15028490,0.00371642,0.03969312
false,4,16,0.15079820,0.00371374,0.04001025
false,6,1,0.79111419,0.02745300,0.02743015
false,6,2,0.45202997,0.01379207,0.02751118
false,6,3,0.37560267,0.01135812,0.02888867
false,6,4,0.32840822,0.00963658,0.03797556
false,6,5,0.26696856,0.00743834,0.03664063
false,6,6,0.22955752,0.00627214,0.03671190
false,6,7,0.20563876,0.00550885,0.03771408
false,6,8,0.18512904,0.00480933,0.03653954
false,6,9,0.15740304,0.00386087,0.03355567
false,6,10,0.15234531,0.00370140,0.03572193
false,6,11,0.15903218,0.00391119,0.03594340
false,6,12,0.16344807,0.00405607,0.03673156
false,6,13,0.16532465,0.00411809,0.03670222
false,6,14,0.17346379,0.00435611,0.03738698
false,6,15,0.17445500,0.00438290,0.03764160
