dynamic,busy,threads,energy,runtime,usertime
false,0,1,2.95496269,0.02629182,0.02630474
false,0,2,1.50870201,0.01298880,0.02590136
false,0,3,1.11953134,0.00920109,0.02636507
false,0,4,0.89690467,0.00676930,0.02628787
false,0,5,0.76222132,0.00578517,0.02661805
false,0,6,0.63853128,0.00469001,0.02672079
false,0,7,0.56108072,0.00400442,0.02658386
false,0,8,0.52401776,0.00353989,0.02686877
false,0,9,0.47896984,0.00322487,0.02711100
false,0,10,0.45052068,0.00295429,0.02743714
false,0,11,0.43299457,0.00275703,0.02788177
false,0,12,0.40582862,0.00254988,0.02801692
false,0,13,0.38929340,0.00236745,0.02793788
false,0,14,0.37824232,0.00228568,0.02859459
false,0,15,0.36272672,0.00214088,0.02872980
false,0,16,0.36560960,0.00212602,0.02897270
false,0,17,0.34604884,0.00200324,0.02882821
false,0,18,0.35018333,0.00191594,0.03026586
false,0,19,0.32924531,0.00179661,0.02962215
false,0,20,0.31433543,0.00165647,0.02906244
false,0,21,0.32303038,0.00170800,0.03055306
false,0,22,0.35734074,0.00193569,0.03215958
false,0,23,0.33396133,0.00176184,0.03111441
false,0,24,0.31790811,0.00159102,0.03211127
false,0,25,0.30426469,0.00147605,0.03108769
false,0,26,0.33572435,0.00176042,0.03216864
false,0,27,0.33275974,0.00144778,0.03258809
false,0,28,0.38186187,0.00182989,0.03508586
false,0,29,0.32193809,0.00138728,0.03189163
false,0,30,0.32244365,0.00136974,0.03303531
false,0,31,0.32928863,0.00139447,0.03471320
false,0,32,0.33055560,0.00138631,0.03594644
false,4,1,3.23208334,0.02609812,0.02611199
false,4,2,1.67136830,0.01296316,0.02583295
false,4,3,1.28411524,0.00970015,0.02637854
false,4,4,0.91226355,0.00661491,0.02611166
false,4,5,0.79109162,0.00559276,0.02628921
false,4,6,0.68933544,0.00472999,0.02654365
false,4,7,0.60351957,0.00395400,0.02652598
false,4,8,0.55217879,0.00356958,0.02682423
false,4,9,0.51045224,0.00322754,0.02704180
false,4,10,0.47633819,0.00291526,0.02724630
false,4,11,0.45088892,0.00270639,0.02738758
false,4,12,0.42055769,0.00245203,0.02726436
false,4,13,0.41044801,0.00237273,0.02841779
false,4,14,0.39730437,0.00221652,0.02811932
false,4,15,0.38132503,0.00211396,0.02838784
false,4,16,0.36270921,0.00196182,0.02822471
false,4,17,0.36596810,0.00190299,0.02845887
false,4,18,0.35723544,0.00187494,0.02979264
false,4,19,0.34817087,0.00178413,0.02963088
false,4,20,0.31924764,0.00163089,0.02868757
false,4,21,0.32472442,0.00162743,0.02976576
false,4,22,0.35669930,0.00169235,0.03156286
false,4,23,0.36660388,0.00177358,0.03082824
false,4,24,0.36733576,0.00157593,0.03182260
false,4,25,0.36157838,0.00156198,0.03128164
false,4,26,0.34721922,0.00164347,0.03205049
false,4,27,0.34618757,0.00145500,0.03234872
false,4,28,0.35673494,0.00151707,0.03357321
false,4,29,0.35801670,0.00152152,0.03407950
false,4,30,0.37234661,0.00160697,0.03474004
false,4,31,0.39627659,0.00174090,0.03540875
false,4,32,0.39132440,0.00170098,0.03599527
false,8,1,3.43785962,0.02587282,0.02588353
false,8,2,1.79145429,0.01294825,0.02581278
false,8,3,1.29301188,0.00904078,0.02613504
false,8,4,0.98796227,0.00666484,0.02619464
false,8,5,0.85889461,0.00571213,0.02646422
false,8,6,0.71985711,0.00463636,0.02639126
false,8,7,0.64205169,0.00392108,0.02642922
false,8,8,0.57702206,0.00350398,0.02673634
false,8,9,0.53432527,0.00318745,0.02680196
false,8,10,0.49139908,0.00283916,0.02680724
false,8,11,0.47819730,0.00269119,0.02728140
false,8,12,0.44105235,0.00245169,0.02739859
false,8,13,0.43640627,0.00239609,0.02770537
false,8,14,0.41923979,0.00227133,0.02809608
false,8,15,0.39023340,0.00206179,0.02800379
false,8,16,0.37732931,0.00193485,0.02809608
false,8,17,0.36211497,0.00183675,0.02811251
false,8,18,0.39002390,0.00192599,0.03000331
false,8,19,0.35659439,0.00173388,0.02908037
false,8,20,0.35167920,0.00162401,0.02861428
false,8,21,0.35349591,0.00167351,0.02968984
false,8,22,0.37673833,0.00172318,0.03090681
false,8,23,0.37748771,0.00169330,0.03089274
false,8,24,0.36880803,0.00155852,0.03136528
false,8,25,0.37942167,0.00159729,0.03188082
false,8,26,0.39029232,0.00164627,0.03227372
false,8,27,0.41445321,0.00180636,0.03258787
false,8,28,0.40410933,0.00171636,0.03349364
false,8,29,0.41293589,0.00176484,0.03400754
false,8,30,0.41339165,0.00178753,0.03442577
false,8,31,0.42182405,0.00181491,0.03489274
false,8,32,0.42654852,0.00184027,0.03550356
false,12,1,3.80480409,0.02653747,0.02655005
false,12,2,1.92272321,0.01301416,0.02593521
false,12,3,1.37545085,0.00904571,0.02610621
false,12,4,1.05550499,0.00663990,0.02615294
false,12,5,0.89272211,0.00551357,0.02641095
false,12,6,0.76621398,0.00460990,0.02650397
false,12,7,0.66848766,0.00395416,0.02646076
false,12,8,0.60998704,0.00348693,0.02671626
false,12,9,0.56396163,0.00318493,0.02682064
false,12,10,0.53028004,0.00284926,0.02698583
false,12,11,0.49334659,0.00266963,0.02723172
false,12,12,0.46215313,0.00240734,0.02709113
false,12,13,0.44154976,0.00227294,0.02725904
false,12,14,0.42687172,0.00215486,0.02747673
false,12,15,0.41190000,0.00205298,0.02795867
false,12,16,0.40129059,0.00191219,0.02769321
false,12,17,0.37644424,0.00181743,0.02797361
false,12,18,0.38694071,0.00184423,0.02903368
false,12,19,0.36920035,0.00172551,0.02881559
false,12,20,0.37643754,0.00165516,0.02910749
false,12,21,0.41379311,0.00177396,0.02999416
false,12,22,0.41610254,0.00180009,0.03019023
false,12,23,0.41327810,0.00182089,0.03067006
false,12,24,0.44791772,0.00193183,0.03107308
false,12,25,0.44283783,0.00190964,0.03139817
false,12,26,0.44544166,0.00191225,0.03160711
false,12,27,0.45090316,0.00193542,0.03225800
false,12,28,0.45924936,0.00196446,0.03263415
false,12,29,0.46753883,0.00201718,0.03310721
false,12,30,0.47934676,0.00207820,0.03387605
false,12,31,0.49599013,0.00215194,0.03430397
false,12,32,0.48819604,0.00210938,0.03484972
false,16,1,3.91649915,0.02586726,0.02587455
false,16,2,2.05002756,0.01316211,0.02621197
false,16,3,1.62132753,0.01021035,0.02634824
false,16,4,1.11680857,0.00672116,0.02629284
false,16,5,0.94346743,0.00558448,0.02636527
false,16,6,0.80192234,0.00461104,0.02637860
false,16,7,0.70236858,0.00393082,0.02635628
false,16,8,0.63424101,0.00347391,0.02669264
false,16,9,0.58744900,0.00315572,0.02680462
false,16,10,0.53416429,0.00279284,0.02658744
false,16,11,0.51235974,0.00263629,0.02692781
false,16,12,0.47718797,0.00239342,0.02682713
false,16,13,0.45984289,0.00226689,0.02727163
false,16,14,0.44040478,0.00214673,0.02752769
false,16,15,0.42593964,0.00202952,0.02774641
false,16,16,0.40643709,0.00190227,0.02768725
false,16,17,0.41187919,0.00193614,0.02807440
false,16,18,0.43340428,0.00206535,0.02941951
false,16,19,0.43248475,0.00205447,0.02886487
false,16,20,0.48034025,0.00222950,0.02965926
false,16,21,0.45189554,0.00216581,0.02976100
false,16,22,0.44803728,0.00215360,0.02979862
false,16,23,0.46565075,0.00223164,0.03088231
false,16,24,0.46137101,0.00220825,0.03064744
false,16,25,0.46681725,0.00223434,0.03088128
false,16,26,0.47958704,0.00229460,0.03154568
false,16,27,0.47766524,0.00232750,0.03196706
false,16,28,0.49001573,0.00235271,0.03240022
false,16,29,0.49450674,0.00238377,0.03280821
false,16,30,0.49821446,0.00240588,0.03330071
false,16,31,0.50500928,0.00244341,0.03394726
false,16,32,0.51617701,0.00249486,0.03436043
false,20,1,4.15386489,0.02569336,0.02570486
false,20,2,2.15235713,0.01302971,0.02594708
false,20,3,1.58250879,0.00910725,0.02615534
false,20,4,1.16308957,0.00662565,0.02605808
false,20,5,0.98755122,0.00551561,0.02628142
false,20,6,0.84107800,0.00457024,0.02626551
false,20,7,0.73274034,0.00389248,0.02624957
false,20,8,0.66215902,0.00344351,0.02654426
false,20,9,0.61731821,0.00314434,0.02680393
false,20,10,0.56046759,0.00278533,0.02655862
false,20,11,0.53681847,0.00263894,0.02693247
false,20,12,0.50005957,0.00240455,0.02709334
false,20,13,0.50401260,0.00242942,0.02716705
false,20,14,0.52771530,0.00256881,0.02765352
false,20,15,0.56102616,0.00271431,0.02804754
false,20,16,0.54827316,0.00267116,0.02828495
false,20,17,0.55427608,0.00269483,0.02857143
false,20,18,0.56275496,0.00275106,0.02894855
false,20,19,0.57773035,0.00282128,0.02925282
false,20,20,0.57325520,0.00283992,0.02996130
false,20,21,0.58695753,0.00287691,0.03007217
false,20,22,0.59560119,0.00293473,0.03057577
false,20,23,0.59648094,0.00293629,0.03093084
false,20,24,0.61378634,0.00302658,0.03149149
