dynamic,busy,threads,energy,runtime,usertime
false,0,1,24.66529245,0.22692047,0.22691820
false,0,2,12.67088023,0.11345545,0.22670824
false,0,3,9.51230242,0.08120535,0.22791444
false,0,4,6.80747131,0.05681591,0.22697836
false,0,5,5.85893328,0.04839408,0.22944937
false,0,6,5.33591333,0.04028918,0.23065197
false,0,7,4.24943984,0.03329872,0.23171701
false,0,8,4.01385278,0.02908830,0.23160152
false,0,9,3.57593477,0.02609818,0.23331008
false,0,10,3.19899594,0.02365265,0.23479758
false,0,11,3.00423002,0.02164209,0.23532720
false,0,12,2.78912945,0.01993757,0.23681158
false,0,13,2.66881720,0.01850541,0.23833798
false,0,14,2.55129079,0.01732710,0.23982017
false,0,15,2.50388512,0.01615225,0.23952132
false,0,16,2.39831957,0.01528792,0.24169739
false,0,17,2.32370828,0.01432072,0.24031803
false,0,18,2.22467118,0.01377138,0.24452403
false,0,19,2.17774535,0.01322992,0.24688342
false,0,20,2.10214134,0.01254713,0.24651654
false,0,21,2.04585122,0.01203894,0.24803778
false,0,22,1.99152864,0.01155240,0.24931304
false,0,23,1.96748113,0.01115814,0.25139765
false,0,24,1.91581964,0.01082095,0.25321200
false,0,25,1.87228719,0.01042223,0.25262120
false,0,26,1.84491467,0.01006667,0.25611599
false,0,27,1.89388932,0.00985772,0.25847598
false,0,28,1.84115680,0.00947108,0.25844880
false,0,29,1.79753931,0.00908347,0.25891049
false,0,30,1.77351850,0.00894991,0.26311001
false,0,31,1.77910099,0.00874991,0.26311409
false,0,32,1.76994477,0.00856836,0.26540287
false,4,1,27.53242262,0.22685361,0.22686140
false,4,2,14.09181947,0.11359671,0.22696726
false,4,3,10.42797999,0.08346401,0.22779007
false,4,4,7.40689615,0.05678949,0.22693378
false,4,5,6.39119871,0.04882952,0.22810289
false,4,6,5.25697761,0.03910362,0.22908380
false,4,7,4.55586436,0.03324486,0.22993751
false,4,8,4.04831541,0.02893702,0.23051173
false,4,9,3.74531932,0.02588618,0.23128024
false,4,10,3.49056445,0.02326384,0.23115287
false,4,11,3.13132121,0.02136544,0.23312311
false,4,12,2.95094511,0.01968889,0.23424225
false,4,13,2.83021526,0.01822521,0.23493514
false,4,14,2.74962494,0.01715760,0.23778660
false,4,15,2.50970313,0.01565991,0.23277096
false,4,16,2.52781757,0.01506349,0.23838475
false,4,17,2.44622664,0.01433171,0.24046603
false,4,18,2.34680964,0.01362193,0.24115658
false,4,19,2.28589054,0.01299772,0.24268586
false,4,20,2.20895970,0.01250777,0.24510832
false,4,21,2.18927750,0.01210580,0.24660157
false,4,22,2.08912141,0.01140831,0.24638532
false,4,23,2.02740324,0.01100155,0.24720336
false,4,24,1.99865687,0.01071401,0.25014768
false,4,25,1.97625065,0.01040665,0.25235384
false,4,26,1.94177289,0.01010136,0.25324595
false,4,27,1.92205896,0.00985368,0.25540487
false,4,28,1.94268105,0.00951565,0.25778475
false,4,29,2.02904209,0.01021764,0.26453096
false,4,30,2.19865110,0.01095697,0.27142570
false,4,31,2.19493286,0.01091527,0.27223414
false,4,32,2.23742167,0.01101782,0.28182886
false,8,1,29.93401472,0.22697596,0.22698943
false,8,2,15.13842352,0.11360050,0.22703082
false,8,3,11.61036927,0.08428247,0.22795132
false,8,4,7.92322001,0.05683218,0.22698944
