dynamic,busy,threads,energy,runtime,usertime
false,0,1,363.41331600,3.24921624,3.24902076
false,0,2,190.65341325,1.62871880,3.25251402
false,0,3,138.21258660,1.11529906,3.25318095
false,0,4,106.86864780,0.82186798,3.26295407
false,0,5,92.81165690,0.68321239,3.26138382
false,0,6,79.93777815,0.55480393,3.26662320
false,0,7,70.05844210,0.47241684,3.26454913
false,0,8,65.00772430,0.41514398,3.27353105
false,0,9,58.94826910,0.37187673,3.26701722
false,0,10,55.01327435,0.33492536,3.27033392
false,0,11,51.74926090,0.30429566,3.26936028
false,0,12,48.98795965,0.28005936,3.27295632
false,0,13,46.97178805,0.25728957,3.27100786
false,0,14,44.41978165,0.24075912,3.27792654
false,0,15,42.66658240,0.22448483,3.27756437
false,0,16,40.85987195,0.21096128,3.27581032
false,0,17,39.88359495,0.19925501,3.28702796
false,0,18,38.38145090,0.18895937,3.28953223
false,0,19,37.76374385,0.17989753,3.29474699
false,0,20,36.86604010,0.17016645,3.29156138
false,0,21,35.63911380,0.16242945,3.28239976
false,0,22,34.93200540,0.15583163,3.28263415
false,0,23,34.41942360,0.15029298,3.29492772
false,0,24,33.24033650,0.14309433,3.29238734
false,0,25,32.30650420,0.13860778,3.29273613
false,0,26,32.43137570,0.13351026,3.29769486
false,0,27,31.52433490,0.12984174,3.29738071
false,0,28,30.74930930,0.12488397,3.31266868
false,0,29,30.38994375,0.12105390,3.31420100
false,0,30,30.09661100,0.11789817,3.30419261
false,0,31,30.50371810,0.11561505,3.33230085
false,0,32,29.12737550,0.11158982,3.31425569
false,4,1,409.13334165,3.25378236,3.25354220
false,4,2,212.30489985,1.62841761,3.25220852
false,4,3,158.35870580,1.18046800,3.25629551
false,4,4,115.61045190,0.81725570,3.25347518
false,4,5,96.80380275,0.65723221,3.25717140
false,4,6,84.47871605,0.55271775,3.25974160
false,4,7,74.95379440,0.47467289,3.26774853
false,4,8,69.49674710,0.41390659,3.26667993
false,4,9,62.74491950,0.36952080,3.26791269
false,4,10,61.60848535,0.33481885,3.27287948
false,4,11,54.42552475,0.30356236,3.26408584
false,4,12,51.90975530,0.28003478,3.27126787
false,4,13,48.84794680,0.25746299,3.27110471
false,4,14,46.83329350,0.24040784,3.27169691
false,4,15,44.65884775,0.22492785,3.27158857
false,4,16,42.66254055,0.21054482,3.27418610
false,4,17,41.88149580,0.19905437,3.27894384
false,4,18,40.47285965,0.18825944,3.27784724
false,4,19,39.12100235,0.17936687,3.28191774
false,4,20,38.12771115,0.17115205,3.28736287
false,4,21,37.15379760,0.16295200,3.28944206
false,4,22,36.48161780,0.15593922,3.28616687
false,4,23,35.40550095,0.14941469,3.28359473
false,4,24,34.28514405,0.14408766,3.28528069
false,4,25,33.91629105,0.13872945,3.29365488
false,4,26,33.30247855,0.13327613,3.30083904
false,4,27,32.69036945,0.13049116,3.29435087
false,4,28,32.27660840,0.12796365,3.30288671
false,4,29,32.81406990,0.12855577,3.29232984
false,4,30,31.96990730,0.12624893,3.30140487
false,4,31,32.91781220,0.12747539,3.30574150
false,4,32,32.25468035,0.12581551,3.31410148
false,8,1,435.30145625,3.25290768,3.25271019
false,8,2,228.73010015,1.62811406,3.25162264
false,8,3,159.87787010,1.10199658,3.25795915
false,8,4,123.43497175,0.81801128,3.25533262
false,8,5,105.53322575,0.68123001,3.25868384
false,8,6,88.69020020,0.54788304,3.25505350
false,8,7,79.13702535,0.47219597,3.26101048
false,8,8,72.19267160,0.41378033,3.26389079
false,8,9,65.68759955,0.36850782,3.26214011
false,8,10,61.03094570,0.33294422,3.26261293
false,8,11,56.98311270,0.30309197,3.26307767
false,8,12,54.32337095,0.28044065,3.27001640
false,8,13,50.92625280,0.25723631,3.27204673
false,8,14,48.74563365,0.24139945,3.27584767
false,8,15,47.01972035,0.22435842,3.27211838
false,8,16,45.58086345,0.21068297,3.27556826
false,8,17,43.04378765,0.19813153,3.27846150
false,8,18,41.92279155,0.18820181,3.27884448
false,8,19,41.18720870,0.18010492,3.28782798
false,8,20,39.86200330,0.17034081,3.27528851
false,8,21,38.98866975,0.16339588,3.28562342
false,8,22,37.14662330,0.15653324,3.28451870
false,8,23,36.60993160,0.15109430,3.28531731
false,8,24,35.43450860,0.14450645,3.28438444
false,8,25,35.45973545,0.14430493,3.30175422
false,8,26,35.61951265,0.14533427,3.28881325
false,8,27,35.92693850,0.14499709,3.29581374
false,8,28,36.65049190,0.14760308,3.31064810
false,8,29,36.27364375,0.14868256,3.30076436
false,8,30,36.12486750,0.14728577,3.29085765
false,8,31,36.00675535,0.14518359,3.28826957
false,8,32,35.88683655,0.14530886,3.30216868
false,12,1,469.82921780,3.25290507,3.25266070
false,12,2,244.17406240,1.62871511,3.25243641
false,12,3,192.35037910,1.25579561,3.25367914
false,12,4,132.06486605,0.81781171,3.25478058
false,12,5,112.08705010,0.68058335,3.25620545
false,12,6,95.75107555,0.56149946,3.25618807
false,12,7,83.13574205,0.47228834,3.25934840
false,12,8,75.00902755,0.41177670,3.25984083
false,12,9,69.27259325,0.37175237,3.26607766
false,12,10,63.77764430,0.33182554,3.27288472
false,12,11,60.26805555,0.30492702,3.26795781
false,12,12,56.21778980,0.27880268,3.26233447
false,12,13,53.15084710,0.25690362,3.27042657
false,12,14,51.08814395,0.24081477,3.27141257
false,12,15,48.83797955,0.22333052,3.26684119
false,12,16,46.97908825,0.21051356,3.27525125
false,12,17,45.44514585,0.19882493,3.27262790
false,12,18,43.47820275,0.18719995,3.26905976
false,12,19,41.37755070,0.17819366,3.27166941
false,12,20,41.02292505,0.17350802,3.28376570
false,12,21,40.38148720,0.17090331,3.27678304
false,12,22,41.36859355,0.17342568,3.27725384
false,12,23,41.21203115,0.17216939,3.27974501
false,12,24,41.04135210,0.17235571,3.28531006
false,12,25,41.30193510,0.17414860,3.28232655
false,12,26,41.93540535,0.17398040,3.29188809
false,12,27,41.61262760,0.17310986,3.28482397
false,12,28,42.01671910,0.17456960,3.28628486
false,12,29,41.04771090,0.17226283,3.28391457
false,12,30,41.80611900,0.17386597,3.28884802
false,12,31,41.66363060,0.17378769,3.28232226
false,12,32,40.86837450,0.17111266,3.28960721
false,16,1,495.50753615,3.25184468,3.25168487
false,16,2,256.82707320,1.63297184,3.25816445
false,16,3,210.06426245,1.30125920,3.25424856
false,16,4,138.15235790,0.81664296,3.25275674
false,16,5,118.93316750,0.68864963,3.25636421
false,16,6,99.51104265,0.55038771,3.25574388
false,16,7,88.00527700,0.47688354,3.30593706
false,16,8,78.32035075,0.41144486,3.25794562
false,16,9,72.28789755,0.36785412,3.25997119
false,16,10,66.75745770,0.33138012,3.25788039
false,16,11,62.44298890,0.30236180,3.26219489
false,16,12,58.91639135,0.27912375,3.26881788
false,16,13,55.60542205,0.25593316,3.26801837
false,16,14,53.28184155,0.23854178,3.26487513
false,16,15,50.80532625,0.22255950,3.26265923
false,16,16,47.80931190,0.20985035,3.27149139
false,16,17,47.89731240,0.21014440,3.26726629
false,16,18,48.00834190,0.20985607,3.26985777
false,16,19,47.80284100,0.20969658,3.26314305
false,16,20,48.31821580,0.21112301,3.26629811
false,16,21,48.19008450,0.20981454,3.27037641
false,16,22,48.20533325,0.21098548,3.27340201
false,16,23,48.73962270,0.21146354,3.26870080
false,16,24,48.55716215,0.21135519,3.27297618
false,16,25,48.35413235,0.21026864,3.27084629
false,16,26,49.55833420,0.21246419,3.27264182
false,16,27,51.19640560,0.21577860,3.27524170
false,16,28,49.28806160,0.21222458,3.27896374
false,16,29,48.85509990,0.21081401,3.28462094
false,16,30,50.50991770,0.21629036,3.27569911
false,16,31,49.78778320,0.21291841,3.27452699
false,16,32,49.70495900,0.21178333,3.27432503
false,20,1,527.65070345,3.25229106,3.25203204
false,20,2,271.56149955,1.62786004,3.25075588
false,20,3,193.92762070,1.11966749,3.26184428
false,20,4,147.13673220,0.81875698,3.25645474
false,20,5,124.26523205,0.67974893,3.25612378
false,20,6,104.71286860,0.55325637,3.25377804
false,20,7,92.01733845,0.47103928,3.25673672
false,20,8,82.59458725,0.41156599,3.25833148
false,20,9,75.26270790,0.36768545,3.25717350
false,20,10,69.64726500,0.33233336,3.25945903
false,20,11,65.03943890,0.30207776,3.25708780
false,20,12,60.60970510,0.27742022,3.25995037
false,20,13,61.27356690,0.27910945,3.26092474
false,20,14,60.73686225,0.27780719,3.26208846
false,20,15,60.99875510,0.27758547,3.26252590
false,20,16,61.77303680,0.28023734,3.26716118
false,20,17,60.87739985,0.27607175,3.27408372
false,20,18,60.95944135,0.27716791,3.26399301
false,20,19,61.37477710,0.27864231,3.26605463
false,20,20,61.50171070,0.28079260,3.26691470
false,20,21,60.74651675,0.27474537,3.27042232
false,20,22,60.95467850,0.27395457,3.26604910
false,20,23,60.89227030,0.27373416,3.26988282
false,20,24,60.63688570,0.27393423,3.26766909
false,20,25,61.38167285,0.27417449,3.26956519
false,20,26,61.45967260,0.27737432,3.27072826
false,20,27,60.90695150,0.27585694,3.27138491
