dynamic,busy,threads,energy,runtime,usertime
false,0,1,2.01119280,0.18808430,0.18804119
false,0,2,1.68334040,0.09406786,0.18794516
false,0,3,1.44506230,0.07466144,0.18831711
false,0,4,1.34025735,0.04774281,0.18994112
false,0,5,1.18965790,0.04598280,0.19851920
false,0,6,0.85453265,0.04032324,0.22505496
false,0,7,0.70095860,0.03434081,0.23949382
false,0,8,0.63417435,0.03143035,0.25099399
false,0,9,0.57616805,0.02871642,0.25793242
false,0,10,0.53660940,0.02675936,0.26243191
false,0,11,0.49339340,0.02459437,0.26811428
false,0,12,0.45684740,0.02281623,0.27114891
false,0,13,0.43086300,0.02149327,0.27770819
false,0,14,0.40758395,0.02032374,0.28309994
false,0,15,0.38868220,0.01940437,0.28900974
false,0,16,0.37620430,0.01867356,0.29490165
false,2,1,3.79766050,0.19051918,0.19049426
false,2,2,2.05119705,0.10256479,0.20491916
false,2,3,1.67554810,0.08381929,0.20917565
false,2,4,1.12533090,0.05632500,0.22485732
false,2,5,1.02296345,0.05116360,0.23093405
false,2,6,0.89687595,0.04476582,0.24018387
false,2,7,0.75705085,0.03782972,0.25526717
false,2,8,0.66016865,0.03298864,0.26286799
false,2,9,0.60043510,0.02999888,0.26884724
false,2,10,0.54947950,0.02744063,0.27010161
false,2,11,0.50326375,0.02519760,0.27494104
false,2,12,0.47439560,0.02361182,0.28091971
false,2,13,0.44727150,0.02226983,0.28575569
false,2,14,0.43390855,0.02154115,0.29435880
false,2,15,0.44153905,0.02203661,0.29268052
false,2,16,0.42810285,0.02126634,0.29451356
false,4,1,4.31178340,0.21613216,0.21613713
false,4,2,2.15491170,0.10794754,0.21572743
false,4,3,1.75483630,0.08777661,0.22414227
false,4,4,1.20311770,0.06015537,0.24010517
false,4,5,1.08743155,0.05453335,0.24345374
false,4,6,0.90267320,0.04494085,0.25675080
false,4,7,0.77565645,0.03877223,0.26935958
false,4,8,0.67376200,0.03366368,0.26818711
false,4,9,0.61122635,0.03057490,0.27126033
false,4,10,0.55817425,0.02788629,0.27726113
false,4,11,0.52409095,0.02613970,0.28466836
