dynamic,busy,threads,energy,runtime,usertime
false,0,1,5.95334970,0.35243171,0.35243471
false,0,2,3.40427660,0.20490156,0.40854732
false,0,3,2.75954820,0.17047510,0.44627583
false,0,4,2.08830140,0.13042227,0.51563653
false,0,5,1.78365710,0.11255700,0.55482548
false,0,6,1.66340880,0.10491214,0.59167930
false,0,7,1.50401920,0.09524631,0.64769053
false,0,8,1.40936470,0.08952875,0.69928161
false,0,9,1.31012510,0.08387465,0.73559885
false,0,10,1.22293480,0.07835669,0.76098080
false,0,11,1.14576900,0.07373666,0.78107515
false,0,12,1.09804040,0.07067464,0.81730806
false,0,13,1.04678730,0.06743608,0.84668404
false,0,14,1.01421150,0.06558096,0.87612173
false,0,15,0.98209330,0.06345788,0.90466944
false,0,16,0.96922020,0.06267419,0.93302275
false,2,1,6.18801620,0.41049170,0.41046102
false,2,2,3.51779140,0.23064697,0.45978281
false,2,3,3.06322650,0.20176151,0.48839863
false,2,4,2.15413210,0.14192729,0.56114472
false,2,5,1.94295670,0.12946872,0.59346289
false,2,6,1.65626960,0.10835429,0.63278841
false,2,7,1.52071300,0.10036627,0.68475150
false,2,8,1.43622180,0.09479599,0.74157969
false,2,9,1.36475320,0.09038561,0.76310697
false,2,10,1.33769480,0.08805093,0.82689449
false,2,11,1.23385640,0.08208412,0.84595058
false,2,12,1.12662930,0.07452249,0.85932756
false,2,13,1.07866280,0.07118765,0.87912218
false,2,14,1.03381040,0.06827868,0.90477445
false,2,15,1.06917080,0.07066103,0.91096527
false,2,16,1.03417510,0.06842303,0.91630720
false,4,1,6.60043680,0.44311841,0.44312846
false,4,2,3.82158280,0.25347301,0.50514353
false,4,3,2.93718950,0.19533325,0.54071916
false,4,4,2.30098570,0.15292333,0.60366157
false,4,5,2.04252130,0.13562940,0.62515759
false,4,6,1.75191910,0.11666831,0.67721330
false,4,7,1.58536260,0.10517726,0.71960476
false,4,8,1.47577210,0.09797478,0.76581558
false,4,9,1.38169890,0.09180636,0.80378388
false,4,10,1.31589410,0.08729306,0.83869348
false,4,11,1.23367190,0.08192540,0.86789176
false,4,12,1.17681750,0.07803017,0.88228075
false,4,13,1.17788860,0.07809960,0.89348059
false,4,14,1.18276970,0.07840285,0.90159679
false,4,15,1.24031220,0.08231936,0.90412872
false,4,16,1.20855720,0.08048452,0.91388213
false,6,1,7.26379980,0.48728165,0.48729074
false,6,2,4.01410970,0.26723677,0.53259872
false,6,3,3.19693090,0.21261769,0.57491739
false,6,4,2.41216010,0.16033500,0.63532233
false,6,5,2.11502130,0.14082869,0.66550218
false,6,6,1.82740030,0.12170148,0.71153054
false,6,7,1.65602850,0.11002138,0.75427077
false,6,8,1.53391870,0.10179861,0.79278823
false,6,9,1.48658850,0.09889781,0.83782641
false,6,10,1.36117840,0.09050070,0.85916906
false,6,11,1.35851440,0.09029841,0.86207656
false,6,12,1.35296200,0.08991072,0.86788856
false,6,13,1.35508890,0.09019177,0.86655864
false,6,14,1.36025680,0.09037771,0.87252730
false,6,15,1.36807040,0.09081405,0.87122813
false,6,16,1.36044290,0.09043391,0.87457510
false,8,1,7.83494950,0.52523699,0.52524155
false,8,2,4.27243840,0.28465995,0.56761858
false,8,3,3.38245600,0.22517363,0.61381834
false,8,4,2.53002510,0.16912073,0.66183004
false,8,5,2.17208160,0.14460718,0.68899132
false,8,6,1.89974150,0.12654155,0.73374923
false,8,7,1.73404730,0.11521642,0.78895170
false,8,8,1.59878510,0.10625780,0.82311310
false,8,9,1.58597750,0.10570419,0.82390076
false,8,10,1.61053990,0.10721521,0.82695744
false,8,11,1.60110890,0.10659908,0.82876949
false,8,12,1.59989130,0.10650875,0.83294245
false,8,13,1.60227920,0.10660912,0.83439498
false,8,14,1.60120050,0.10668460,0.82998856
false,8,15,1.59213120,0.10606606,0.83226926
false,8,16,1.59757210,0.10625116,0.83299145
false,10,1,8.27589950,0.55383183,0.55383373
false,10,2,4.59314470,0.30616199,0.61070196
false,10,3,3.50811470,0.23401511,0.63667568
false,10,4,2.67856330,0.17871471,0.68811396
false,10,5,2.25316260,0.14994055,0.73632592
