dynamic,busy,threads,energy,runtime,usertime
false,0,1,3.99318490,0.35502939,0.19749530
false,0,2,2.90934050,0.23137414,0.20213025
false,0,3,1.86362130,0.21864141,0.25480128
false,0,4,3.10303470,0.17423115,0.22356615
false,0,5,2.13719100,0.20409580,0.29633441
false,0,6,1.90527710,0.15566470,0.24395207
false,0,7,1.55784030,0.15149925,0.27933443
false,0,8,1.22862900,0.15226472,0.33656930
false,0,9,1.38990610,0.14332052,0.30377080
false,0,10,1.35696570,0.13959514,0.30552194
false,0,11,1.22723900,0.13952043,0.33397612
false,0,12,1.22118470,0.13754096,0.32536709
false,0,13,1.11006070,0.13362533,0.33624991
false,0,14,1.22394330,0.13003691,0.31496824
false,0,15,1.15867880,0.12989751,0.33618772
false,0,16,1.18216550,0.12924042,0.35117660
false,2,1,6.31629780,0.35147675,0.19576035
false,2,2,4.65897240,0.22820867,0.19580214
false,2,3,5.21268210,0.25286067,0.19575994
false,2,4,3.99919200,0.16621297,0.19672869
false,2,5,3.42537670,0.16387620,0.20886842
false,2,6,3.01069940,0.15054929,0.21410818
false,2,7,2.84536980,0.14265123,0.21789615
false,2,8,2.72899710,0.13688657,0.21532522
false,2,9,2.66764620,0.13362954,0.22149941
false,2,10,2.62285790,0.13118239,0.21984776
false,2,11,2.57312590,0.12906202,0.22119245
false,2,12,2.54244660,0.12731430,0.22582210
false,2,13,2.49340900,0.12513782,0.22618004
false,2,14,2.47280150,0.12395201,0.22871757
false,2,15,2.44902800,0.12270132,0.23262613
false,2,16,2.43671640,0.12188799,0.23626538
false,4,1,7.53931190,0.37798942,0.21771801
false,4,2,4.84464690,0.24308567,0.22396609
false,4,3,4.90991150,0.24576828,0.22113028
false,4,4,3.41754020,0.17109091,0.22140057
false,4,5,3.70251850,0.18586934,0.22203860
false,4,6,3.15464950,0.15768926,0.22577407
false,4,7,2.91449160,0.14602082,0.23417740
false,4,8,2.76273400,0.13836465,0.22797695
false,4,9,2.69963300,0.13510850,0.23294713
false,4,10,2.70135120,0.13562858,0.23080772
false,4,11,2.59841760,0.13004424,0.23238850
false,4,12,2.56168540,0.12842186,0.24027439
false,4,13,2.50791170,0.12574052,0.23728311
false,4,14,2.48059840,0.12424458,0.23764766
false,4,15,2.66706480,0.13373367,0.23963116
false,4,16,2.43960920,0.12222342,0.24318972
false,6,1,7.74240200,0.38788989,0.22773789
false,6,2,4.92844850,0.24698385,0.23173590
false,6,3,5.04695280,0.25321368,0.24382067
false,6,4,3.51097110,0.17576988,0.23452145
false,6,5,3.70478580,0.18586034,0.23804321
false,6,6,3.33531180,0.16709691,0.23977543
false,6,7,2.97962190,0.14846040,0.25295008
