dynamic,busy,threads,energy,runtime,usertime
false,0,1,7.20120574,0.05915268,0.05916479
false,0,2,3.43275211,0.02939934,0.05820493
false,0,3,3.73718618,0.02936807,0.05832191
false,0,4,2.29122208,0.01490200,0.05885658
false,0,5,1.71786822,0.01186030,0.05842380
false,0,6,1.62775127,0.01182061,0.05837355
false,0,7,1.63629879,0.00996404,0.05860919
false,0,8,1.38012132,0.00751230,0.05895152
false,0,9,1.36211518,0.00750199,0.05900984
false,0,10,1.19387613,0.00608137,0.05910975
false,0,11,1.17502599,0.00601435,0.05898367
false,0,12,1.16561059,0.00589928,0.05967743
false,0,13,1.05793356,0.00507080,0.05935202
false,0,14,1.03766790,0.00490460,0.06047116
false,0,15,1.01387661,0.00472583,0.06150166
false,0,16,1.00587559,0.00465041,0.06416278
false,0,17,1.03452753,0.00441573,0.06236345
false,0,18,0.98246063,0.00426407,0.06397033
false,0,19,1.02021313,0.00434284,0.06561714
false,0,20,1.05880983,0.00485201,0.07258035
false,0,21,0.99789193,0.00415451,0.06810124
false,0,22,1.03865149,0.00468052,0.07431452
false,0,23,1.06732490,0.00450216,0.07431025
false,0,24,1.08527225,0.00474843,0.07816436
false,0,25,1.11279255,0.00483834,0.08318528
false,0,26,1.02438773,0.00427443,0.07919800
false,0,27,1.09371502,0.00451300,0.08367341
false,0,28,1.15507357,0.00489609,0.09052495
false,0,29,1.04826497,0.00431356,0.08865461
false,0,30,1.10348084,0.00450691,0.08881759
false,0,31,1.23553668,0.00531591,0.10458861
false,0,32,1.17800811,0.00484510,0.10420031
false,4,1,8.05918555,0.05900808,0.05901847
false,4,2,3.98324217,0.02935627,0.05822825
false,4,3,4.19691412,0.02948377,0.05853366
false,4,4,2.20810868,0.01475469,0.05837479
false,4,5,1.79484516,0.01178728,0.05822450
false,4,6,1.92873733,0.01188538,0.05855482
false,4,7,1.77780033,0.00999312,0.05883381
false,4,8,1.44533588,0.00750053,0.05896798
false,4,9,1.44595690,0.00746775,0.05883993
false,4,10,1.22854749,0.00601279,0.05889216
false,4,11,1.19707313,0.00601360,0.05907566
false,4,12,1.15455035,0.00548774,0.05906753
false,4,13,1.12489635,0.00503276,0.05912442
false,4,14,1.06365483,0.00465685,0.05926201
false,4,15,1.00221889,0.00432041,0.05932179
false,4,16,0.95860262,0.00399627,0.06029239
false,4,17,1.02258772,0.00418042,0.06073651
false,4,18,1.00739530,0.00401698,0.06154255
false,4,19,0.95090829,0.00371013,0.06152093
false,4,20,0.98638917,0.00384253,0.06469879
false,4,21,0.99178368,0.00388929,0.06507065
false,4,22,0.98446585,0.00382972,0.06556741
false,4,23,1.09030430,0.00438869,0.07179832
false,4,24,1.03742496,0.00405633,0.07244869
false,4,25,1.05053124,0.00410054,0.07495420
false,4,26,1.07178744,0.00420791,0.07797890
false,4,27,1.11139650,0.00436581,0.08012187
false,4,28,1.20234536,0.00485205,0.08503977
false,4,29,1.15906158,0.00458936,0.08521892
false,4,30,1.24274891,0.00502940,0.08967987
false,4,31,1.28572395,0.00525150,0.09088432
false,4,32,1.28165225,0.00520723,0.09330624
false,8,1,8.54501235,0.05878506,0.05879093
false,8,2,4.17099902,0.02945176,0.05831226
false,8,3,4.37702610,0.02947982,0.05847384
false,8,4,2.34068663,0.01474513,0.05833676
false,8,5,1.95745855,0.01185512,0.05844318
false,8,6,1.98703811,0.01185422,0.05843667
false,8,7,1.88359329,0.01005934,0.05895168
false,8,8,1.47570375,0.00748130,0.05888004
false,8,9,1.47087504,0.00747910,0.05888853
false,8,10,1.23480388,0.00602263,0.05898902
false,8,11,1.26172339,0.00601661,0.05902540
false,8,12,1.18665513,0.00546342,0.05897269
false,8,13,1.18492630,0.00503288,0.05901518
false,8,14,1.09578808,0.00469149,0.05930902
false,8,15,1.04267463,0.00432768,0.05932267
false,8,16,0.95393007,0.00385850,0.05950157
false,8,17,1.01697264,0.00392052,0.06006276
false,8,18,0.94792647,0.00362569,0.05982941
false,8,19,1.07197758,0.00418820,0.06374580
false,8,20,1.03934585,0.00394082,0.06432955
false,8,21,1.03850772,0.00393939,0.06549876
false,8,22,1.08582798,0.00415459,0.06853493
false,8,23,1.16236686,0.00452143,0.07217023
false,8,24,1.16284507,0.00448880,0.07406686
false,8,25,1.32424707,0.00532601,0.07946283
false,8,26,1.40109627,0.00567843,0.08160482
false,8,27,1.37728610,0.00548857,0.08143595
false,8,28,1.32115978,0.00527996,0.08240321
false,8,29,1.38781202,0.00558370,0.08530107
false,8,30,1.35901892,0.00542021,0.08395745
false,8,31,1.37573534,0.00546013,0.08613918
false,8,32,1.35582872,0.00538429,0.08713913
false,12,1,9.04626965,0.05865921,0.05866500
false,12,2,4.52721425,0.02945537,0.05840339
false,12,3,4.63075244,0.02954729,0.05855491
false,12,4,2.49569109,0.01476289,0.05840633
false,12,5,2.15816009,0.01185169,0.05843029
false,12,6,2.12212097,0.01187195,0.05850307
false,12,7,1.98184574,0.00996246,0.05876988
false,12,8,1.57930101,0.00753564,0.05905758
false,12,9,1.54597410,0.00749615,0.05905233
false,12,10,1.32320341,0.00598453,0.05879741
false,12,11,1.32786929,0.00600526,0.05900151
false,12,12,1.22521017,0.00550605,0.05895434
false,12,13,1.23548148,0.00518836,0.05916924
false,12,14,1.08731682,0.00466218,0.05920571
false,12,15,1.15231117,0.00473565,0.06002799
false,12,16,1.02598755,0.00398348,0.05946406
false,12,17,1.02940843,0.00382188,0.05945494
false,12,18,1.01120643,0.00370181,0.06013590
false,12,19,1.14802123,0.00434259,0.06489955
false,12,20,1.44084506,0.00588143,0.06891573
false,12,21,1.36395234,0.00542630,0.07175126
false,12,22,1.46451487,0.00593161,0.07338029
false,12,23,1.43332493,0.00577395,0.07301950
false,12,24,1.43932578,0.00572631,0.07446974
false,12,25,1.41439820,0.00556019,0.07488285
false,12,26,1.39714635,0.00550676,0.07391787
false,12,27,1.40872629,0.00557791,0.07542514
false,12,28,1.41084652,0.00554750,0.07555210
false,12,29,1.45522043,0.00573870,0.07774754
false,12,30,1.46885150,0.00580516,0.07744823
false,12,31,1.46151713,0.00576858,0.07779308
false,12,32,1.47429150,0.00578935,0.08025148
false,16,1,9.61936261,0.05885014,0.05885499
false,16,2,4.73839363,0.02936690,0.05823326
false,16,3,4.87153053,0.02965858,0.05887108
false,16,4,2.61130679,0.01472617,0.05833060
false,16,5,2.14032612,0.01180832,0.05830200
false,16,6,2.07074646,0.01177973,0.05827237
false,16,7,1.83213151,0.00984476,0.05834738
false,16,8,1.48171378,0.00740251,0.05852498
false,16,9,1.48372332,0.00740458,0.05860784
false,16,10,1.25533868,0.00594338,0.05860975
false,16,11,1.26209879,0.00602349,0.05885836
false,16,12,1.17167137,0.00542434,0.05868417
false,16,13,1.09972603,0.00498905,0.05882821
false,16,14,1.04355254,0.00460235,0.05892673
false,16,15,0.99312378,0.00430312,0.05915893
false,16,16,0.93696176,0.00392587,0.05953558
false,16,17,1.11545539,0.00500207,0.06141885
false,16,18,1.43637313,0.00705636,0.06510032
false,16,19,1.39190541,0.00670147,0.06430946
false,16,20,1.30279850,0.00611885,0.06314221
false,16,21,1.30258669,0.00611273,0.06320749
false,16,22,1.28394117,0.00595666,0.06316114
false,16,23,1.24877228,0.00575538,0.06298169
false,16,24,1.23747126,0.00566602,0.06316983
false,16,25,1.21758563,0.00553334,0.06350471
false,16,26,1.23484027,0.00564219,0.06393357
false,16,27,1.24990387,0.00569917,0.06453048
false,16,28,1.26800708,0.00582684,0.06479272
false,16,29,1.28667181,0.00592869,0.06532095
false,16,30,1.29460081,0.00596820,0.06579028
false,16,31,1.29983982,0.00599900,0.06602158
false,16,32,1.30131976,0.00598538,0.06637678
false,20,1,10.13786436,0.05916640,0.05917575
false,20,2,4.96914311,0.02939698,0.05834901
false,20,3,5.01045047,0.02935640,0.05825713
false,20,4,2.78669576,0.01474194,0.05835552
false,20,5,2.32485963,0.01185315,0.05845907
false,20,6,2.27146426,0.01186478,0.05851152
false,20,7,1.93584904,0.00990855,0.05844728
false,20,8,1.55608341,0.00740486,0.05855951
false,20,9,1.55210897,0.00743042,0.05868062
false,20,10,1.29625871,0.00592986,0.05853252
false,20,11,1.31525131,0.00597296,0.05880521
false,20,12,1.23111810,0.00545675,0.05889387
false,20,13,1.19005555,0.00519549,0.05904592
false,20,14,1.86171442,0.00912194,0.06265849
false,20,15,1.76980355,0.00860227,0.06183452
false,20,16,1.61792261,0.00767893,0.06131189
false,20,17,1.61831187,0.00767026,0.06148800
false,20,18,1.58019957,0.00742388,0.06146248
false,20,19,1.54616940,0.00721587,0.06155199
false,20,20,1.52127561,0.00706282,0.06221882
false,20,21,1.53895783,0.00714425,0.06231683
false,20,22,1.53664423,0.00713886,0.06277991
false,20,23,1.57414644,0.00734997,0.06330291
false,20,24,1.56631738,0.00729236,0.06355402
false,20,25,1.61810348,0.00751303,0.06421908
false,20,26,1.61457310,0.00755204,0.06454578
false,20,27,1.59014089,0.00742770,0.06431716
false,20,28,1.58758493,0.00739093,0.06440250
false,20,29,1.58424486,0.00734665,0.06446508
false,20,30,1.59974963,0.00741111,0.06493798
false,20,31,1.60983591,0.00749524,0.06558486
false,20,32,1.59075151,0.00737725,0.06586106
false,24,1,10.57250627,0.05865167,0.05866062
false,24,2,5.42762657,0.02931151,0.05818468
false,24,3,5.54350461,0.02943871,0.05839453
false,24,4,2.92746714,0.01467069,0.05816716
false,24,5,2.41232099,0.01177972,0.05827080
false,24,6,2.42779772,0.01184939,0.05835396
false,24,7,2.06635619,0.00986015,0.05831442
false,24,8,1.63054901,0.00737572,0.05837532
false,24,9,1.77168478,0.00816219,0.05887917
false,24,10,2.43673515,0.01185906,0.06030201
false,24,11,2.44016147,0.01188587,0.06024451
false,24,12,2.27721268,0.01091394,0.05981978
false,24,13,2.16325757,0.01030924,0.05986731
false,24,14,2.10670737,0.00998831,0.06016955
false,24,15,2.12087994,0.01004470,0.06056909
false,24,16,2.15388744,0.01010174,0.06113394
false,24,17,2.16747998,0.01026353,0.06138884
false,24,18,2.23154387,0.01064917,0.06186840
false,24,19,2.16082380,0.01021428,0.06168794
false,24,20,2.08806215,0.00984483,0.06177790
false,24,21,2.09345900,0.00985486,0.06199574
false,24,22,2.09256884,0.00978873,0.06250814
false,24,23,2.15626895,0.00983237,0.06262845
false,24,24,2.15973157,0.01002963,0.06294189
false,24,25,2.15622705,0.00997885,0.06336667
false,24,26,2.15791154,0.01003841,0.06367075
false,24,27,2.17526635,0.00991337,0.06373574
false,24,28,2.12132789,0.00997277,0.06400509
false,24,29,2.26477280,0.01040787,0.06420306
false,24,30,2.13558961,0.00998066,0.06463320
false,24,31,2.22122422,0.01007449,0.06499218
false,24,32,2.26529872,0.01014374,0.06551834
false,28,1,11.17069315,0.05866602,0.05867250
false,28,2,5.84660396,0.02936256,0.05827872
false,28,3,5.87061553,0.02949779,0.05845909
false,28,4,3.10047294,0.01481471,0.05827677
false,28,5,4.64292161,0.02308724,0.05885509
false,28,6,4.62293286,0.02301817,0.05894836
false,28,7,3.99463858,0.01955530,0.05884863
false,28,8,3.50895011,0.01670002,0.05910082
false,28,9,3.56920886,0.01724719,0.05931269
false,28,10,3.66499664,0.01767546,0.05976733
false,28,11,3.74139984,0.01791117,0.06012888
false,28,12,3.57620136,0.01717803,0.05946780
false,28,13,3.63972726,0.01715159,0.06006609
false,28,14,3.71984822,0.01782150,0.06014767
false,28,15,3.63905979,0.01736363,0.06062831
false,28,16,3.56754479,0.01707101,0.06072800
false,28,17,3.68811778,0.01721336,0.06125901
false,28,18,3.61332086,0.01724555,0.06107808
false,28,19,3.92168388,0.01696241,0.06116908
false,28,20,3.55049143,0.01689611,0.06158680
false,28,21,3.59723847,0.01662049,0.06182812
false,28,22,3.62279092,0.01708268,0.06198520
false,28,23,3.64965241,0.01681022,0.06221295
false,28,24,3.56583222,0.01646772,0.06281590
false,28,25,3.58268952,0.01691882,0.06280133
false,28,26,3.60090594,0.01686850,0.06300872
false,28,27,3.61144492,0.01664545,0.06333592
false,28,28,3.61014875,0.01624690,0.06382919
false,28,29,3.59536299,0.01655087,0.06385208
false,28,30,3.61661088,0.01615817,0.06461546
false,28,31,3.46763931,0.01614163,0.06437061
false,28,32,3.43163651,0.01578750,0.06506570
false,32,1,22.83971598,0.12031097,0.05928352
false,32,2,12.50651527,0.06224038,0.05930919
false,32,3,13.43449546,0.06229068,0.06023286
false,32,4,7.27129615,0.03310614,0.05943846
false,32,5,6.38215227,0.02950424,0.05912848
false,32,6,5.82788223,0.02648622,0.05918210
false,32,7,5.24986033,0.02338639,0.05966344
false,32,8,5.36710968,0.02395805,0.06028268
false,32,9,5.07568570,0.02255641,0.06047451
false,32,10,5.21266451,0.02324235,0.06070716
false,32,11,5.22617318,0.02309851,0.06086998
false,32,12,4.85604792,0.02162171,0.06037681
false,32,13,4.64034517,0.02011400,0.06233371
false,32,14,4.25215623,0.01854548,0.06139335
false,32,15,4.27524978,0.01854222,0.06203836
false,32,16,4.11567281,0.01802467,0.06161302
false,32,17,4.02900970,0.01722479,0.06235017
false,32,18,4.01383060,0.01734378,0.06327462
false,32,19,3.86114282,0.01667523,0.06279278
false,32,20,3.80236318,0.01640888,0.06272493
false,32,21,3.75806162,0.01619696,0.06252706
false,32,22,3.82972687,0.01644942,0.06350914
false,32,23,3.51599499,0.01527461,0.06267982
false,32,24,3.63584862,0.01531435,0.06405829
false,32,25,3.52174332,0.01511225,0.06410235
false,32,26,3.45245857,0.01477061,0.06427622
false,32,27,3.39877448,0.01452124,0.06398964
false,32,28,3.32982453,0.01393078,0.06523394
false,32,29,3.25226372,0.01379726,0.06487013
false,32,30,3.13703413,0.01335188,0.06505884
false,32,31,3.20702538,0.01344382,0.06579507
false,32,32,3.22025751,0.01350738,0.06735625
true,0,1,7.29602529,0.05888070,0.05889232
true,0,2,4.15744696,0.03368141,0.05877532
true,0,3,3.58147333,0.02947089,0.05845174
true,0,4,2.66226116,0.01896079,0.05866157
true,0,5,1.98553878,0.01300873,0.05877622
true,0,6,1.97018723,0.01301938,0.05885147
true,0,7,1.76642076,0.01063961,0.05900284
true,0,8,1.52117072,0.00850964,0.05882011
true,0,9,1.42672761,0.00788891,0.05907992
true,0,10,1.27911924,0.00659178,0.05892992
true,0,11,1.25113062,0.00648953,0.05911159
true,0,12,1.21272684,0.00607763,0.05929754
true,0,13,1.18443316,0.00567374,0.06035241
