dynamic,busy,threads,energy,runtime,usertime
false,0,1,0.36763668,0.00320472,0.00321522
false,0,2,0.19754310,0.00161349,0.00322262
false,0,3,0.14929661,0.00118047,0.00339719
false,0,4,0.11559483,0.00087415,0.00342941
false,0,5,0.10240627,0.00073592,0.00350668
false,0,6,0.09096783,0.00062598,0.00358377
false,0,7,0.08183613,0.00056394,0.00371521
false,0,8,0.07967251,0.00053562,0.00402058
false,0,9,0.07207971,0.00046433,0.00386086
false,0,10,0.06848032,0.00043195,0.00391004
false,0,11,0.06922002,0.00043047,0.00417526
false,0,12,0.06460475,0.00039311,0.00416505
false,0,13,0.06814511,0.00038751,0.00435340
false,0,14,0.07780734,0.00040690,0.00451966
false,0,15,0.07363556,0.00036621,0.00459816
false,0,16,0.07066389,0.00034902,0.00468243
false,0,17,0.07718897,0.00038205,0.00484713
false,0,18,0.09020532,0.00045753,0.00525146
false,0,19,0.07239268,0.00034973,0.00528442
false,0,20,0.06846515,0.00032995,0.00516862
false,0,21,0.07654966,0.00034804,0.00551241
false,0,22,0.08330486,0.00041689,0.00579503
false,0,23,0.07335589,0.00034299,0.00587036
false,0,24,0.07548270,0.00034132,0.00597394
false,0,25,0.07626839,0.00034580,0.00616326
false,0,26,0.07867483,0.00035871,0.00657666
false,0,27,0.08137274,0.00037511,0.00678400
false,0,28,0.07946270,0.00034990,0.00705855
false,0,29,0.08414088,0.00038433,0.00741591
false,0,30,0.08860754,0.00041215,0.00780567
false,0,31,0.08611191,0.00037512,0.00804883
false,0,32,0.09024124,0.00040725,0.00835344
false,4,1,0.40744117,0.00322671,0.00323867
false,4,2,0.21290418,0.00161654,0.00322850
false,4,3,0.15658818,0.00113909,0.00333442
false,4,4,0.12339005,0.00084514,0.00333596
false,4,5,0.10304732,0.00069837,0.00337390
false,4,6,0.09626880,0.00061014,0.00348723
false,4,7,0.08752773,0.00054036,0.00361193
false,4,8,0.08305464,0.00049470,0.00372118
false,4,9,0.07974529,0.00045316,0.00379856
false,4,10,0.07258618,0.00038421,0.00360715
false,4,11,0.06929372,0.00038059,0.00385209
false,4,12,0.06732772,0.00037556,0.00407047
false,4,13,0.06523128,0.00034138,0.00399455
false,4,14,0.07141364,0.00036096,0.00437380
false,4,15,0.06219201,0.00031664,0.00416054
false,4,16,0.06428787,0.00033403,0.00456293
false,4,17,0.06044585,0.00030056,0.00433844
false,4,18,0.07603739,0.00034911,0.00487599
false,4,19,0.06985500,0.00032552,0.00491069
false,4,20,0.06936448,0.00031305,0.00495777
false,4,21,0.07182539,0.00030864,0.00516282
false,4,22,0.07630407,0.00035466,0.00542423
false,4,23,0.07500201,0.00033655,0.00561051
false,4,24,0.07834137,0.00036226,0.00583368
false,4,25,0.08035701,0.00039657,0.00597899
false,4,26,0.08251151,0.00035556,0.00635691
false,4,27,0.08389599,0.00037923,0.00657384
false,4,28,0.08861840,0.00040488,0.00683936
false,4,29,0.09410372,0.00043369,0.00717151
false,4,30,0.09051699,0.00042309,0.00755771
false,4,31,0.09515680,0.00043712,0.00796700
false,4,32,0.09258898,0.00041276,0.00830504
false,8,1,0.44284579,0.00322036,0.00323090
false,8,2,0.22999448,0.00161365,0.00322299
false,8,3,0.16962322,0.00114280,0.00335711
false,8,4,0.13223691,0.00084437,0.00333297
false,8,5,0.11160390,0.00070893,0.00338736
false,8,6,0.10272375,0.00060470,0.00348985
false,8,7,0.09202766,0.00054491,0.00363255
false,8,8,0.08498965,0.00048395,0.00364983
false,8,9,0.08063942,0.00044836,0.00376684
false,8,10,0.07145001,0.00039059,0.00362772
false,8,11,0.07463316,0.00038353,0.00387968
false,8,12,0.06817350,0.00036490,0.00400830
false,8,13,0.07014680,0.00034222,0.00399761
false,8,14,0.06682837,0.00034641,0.00424439
false,8,15,0.06827586,0.00033643,0.00427038
false,8,16,0.06369379,0.00032148,0.00439508
false,8,17,0.06758739,0.00034006,0.00469549
false,8,18,0.06484519,0.00031870,0.00468843
false,8,19,0.07231886,0.00031379,0.00483568
false,8,20,0.07955841,0.00036649,0.00519258
false,8,21,0.07567669,0.00033380,0.00519701
false,8,22,0.07446300,0.00034830,0.00526092
false,8,23,0.08213238,0.00037077,0.00568909
false,8,24,0.08040674,0.00034917,0.00584061
false,8,25,0.08481458,0.00036952,0.00602949
false,8,26,0.08779490,0.00038689,0.00619512
false,8,27,0.09406310,0.00041917,0.00668894
false,8,28,0.09580306,0.00043105,0.00685202
false,8,29,0.10304524,0.00045439,0.00730432
false,8,30,0.10769343,0.00051631,0.00757491
false,8,31,0.09376795,0.00040532,0.00761501
false,8,32,0.11543489,0.00053255,0.00842565
false,12,1,0.48876227,0.00318580,0.00319256
false,12,2,0.24731634,0.00162348,0.00324102
false,12,3,0.18255046,0.00113322,0.00332135
false,12,4,0.13849468,0.00084032,0.00331942
false,12,5,0.12385200,0.00070852,0.00340113
false,12,6,0.10472247,0.00060609,0.00348305
false,12,7,0.09755854,0.00053890,0.00360195
false,12,8,0.08911092,0.00048841,0.00371782
false,12,9,0.08784580,0.00044490,0.00374563
false,12,10,0.07753084,0.00039047,0.00363677
false,12,11,0.07234217,0.00037381,0.00380194
false,12,12,0.07385808,0.00036834,0.00402498
false,12,13,0.07146979,0.00034367,0.00401271
false,12,14,0.06651506,0.00032969,0.00412353
false,12,15,0.06947242,0.00033034,0.00422154
false,12,16,0.06733279,0.00031914,0.00441271
false,12,17,0.07232872,0.00034021,0.00458297
false,12,18,0.06938939,0.00032965,0.00465130
false,12,19,0.07590867,0.00033491,0.00479832
false,12,20,0.07846729,0.00032840,0.00495737
false,12,21,0.07964975,0.00034507,0.00517394
false,12,22,0.09539128,0.00039835,0.00548054
false,12,23,0.08590453,0.00035069,0.00562608
false,12,24,0.08525820,0.00035674,0.00576683
false,12,25,0.09014694,0.00037514,0.00616159
false,12,26,0.09031140,0.00038606,0.00618794
false,12,27,0.09644329,0.00046735,0.00633955
false,12,28,0.09724332,0.00043971,0.00683457
false,12,29,0.10872030,0.00051310,0.00737847
false,12,30,0.10987487,0.00047107,0.00753999
false,12,31,0.12098810,0.00060051,0.00807331
false,12,32,0.11482985,0.00051897,0.00821347
false,16,1,0.49267375,0.00318015,0.00318971
false,16,2,0.26260430,0.00163498,0.00326460
false,16,3,0.18664790,0.00113772,0.00334257
false,16,4,0.14371758,0.00083780,0.00330995
false,16,5,0.12344238,0.00071234,0.00337764
false,16,6,0.10996657,0.00060710,0.00349401
false,16,7,0.10335519,0.00053478,0.00359142
false,16,8,0.09530880,0.00048761,0.00363893
false,16,9,0.08895210,0.00045311,0.00379747
false,16,10,0.07780279,0.00038377,0.00358807
false,16,11,0.07472495,0.00037604,0.00382515
false,16,12,0.07638816,0.00036678,0.00401738
false,16,13,0.07105699,0.00033757,0.00392763
false,16,14,0.07122095,0.00032949,0.00412929
false,16,15,0.06936510,0.00031742,0.00417864
false,16,16,0.06825840,0.00031409,0.00436694
false,16,17,0.07348977,0.00032554,0.00450544
false,16,18,0.07772043,0.00033288,0.00463349
false,16,19,0.07566083,0.00034304,0.00476622
false,16,20,0.07571123,0.00035051,0.00489820
false,16,21,0.08148946,0.00037541,0.00508864
false,16,22,0.08390604,0.00038033,0.00522593
false,16,23,0.08519201,0.00039444,0.00541887
false,16,24,0.09478425,0.00043096,0.00574082
false,16,25,0.09914106,0.00043939,0.00577390
false,16,26,0.09512850,0.00045437,0.00615903
false,16,27,0.09960572,0.00046250,0.00628273
false,16,28,0.10078459,0.00049490,0.00671151
false,16,29,0.11418388,0.00054726,0.00734447
false,16,30,0.12033324,0.00057344,0.00768684
false,16,31,0.12726744,0.00061835,0.00830463
false,16,32,0.13237670,0.00062348,0.00849369
false,20,1,0.52015759,0.00320379,0.00320930
false,20,2,0.27271979,0.00161308,0.00322130
false,20,3,0.20085604,0.00113248,0.00332934
false,20,4,0.15464416,0.00083910,0.00331169
false,20,5,0.13667616,0.00072434,0.00343837
false,20,6,0.11575736,0.00060104,0.00346494
false,20,7,0.10510540,0.00054115,0.00359172
false,20,8,0.09669404,0.00047856,0.00362193
false,20,9,0.09536396,0.00044722,0.00375843
false,20,10,0.08387497,0.00040112,0.00373960
false,20,11,0.08419942,0.00038841,0.00390390
false,20,12,0.08423102,0.00039050,0.00396519
false,20,13,0.08092218,0.00037412,0.00408579
false,20,14,0.08559610,0.00040119,0.00413294
false,20,15,0.08819994,0.00041024,0.00433515
false,20,16,0.08860708,0.00041904,0.00442097
false,20,17,0.09398043,0.00043351,0.00458624
false,20,18,0.09100213,0.00043811,0.00468234
false,20,19,0.09852276,0.00046356,0.00491041
false,20,20,0.10380538,0.00049022,0.00514332
false,20,21,0.11012157,0.00051333,0.00540220
false,20,22,0.11470452,0.00055256,0.00576014
false,20,23,0.12466754,0.00059838,0.00618797
false,20,24,0.13016966,0.00060725,0.00636060
false,20,25,0.13374378,0.00063230,0.00669346
false,20,26,0.13593691,0.00066262,0.00704176
false,20,27,0.14106302,0.00068432,0.00734069
false,20,28,0.15059817,0.00073222,0.00767760
false,20,29,0.15311178,0.00076023,0.00814034
false,20,30,0.16060510,0.00078988,0.00850067
false,20,31,0.16388587,0.00081150,0.00877432
false,20,32,0.17506712,0.00085512,0.00933089
false,24,1,0.55253451,0.00317779,0.00318705
false,24,2,0.28918579,0.00160877,0.00321278
false,24,3,0.21948539,0.00118327,0.00330611
