busy,threads,energy,runtime,usertime
0,1,7.26212288,0.05894579,0.05895695
0,2,3.37539379,0.02891388,0.05769651
0,3,3.44903126,0.02888837,0.05778243
0,4,2.04530744,0.01453265,0.05795112
0,5,1.80443381,0.01168418,0.05807075
0,6,1.86624574,0.01173808,0.05820041
0,7,1.65130471,0.00976196,0.05817170
0,8,1.37819863,0.00739585,0.05834841
0,9,1.36650611,0.00741340,0.05841633
0,10,1.16987077,0.00596352,0.05855114
0,11,1.16839295,0.00593265,0.05854297
0,12,1.09722115,0.00540686,0.05864848
0,13,1.03226299,0.00494591,0.05853190
0,14,0.99138399,0.00464005,0.05895644
0,15,0.97541244,0.00450099,0.05990612
0,16,0.93983919,0.00424414,0.06155416
0,17,0.95264932,0.00406009,0.06047560
0,18,0.92796334,0.00411001,0.06242636
0,19,0.94226838,0.00394680,0.06325561
0,20,1.01757548,0.00440170,0.06841017
0,21,0.94495538,0.00394260,0.06539434
0,22,0.90162323,0.00359651,0.06501141
0,23,0.89316312,0.00349008,0.06615309
0,24,0.91639766,0.00362853,0.06785303
0,25,1.00604035,0.00414726,0.07528680
0,26,0.95486776,0.00383592,0.07268912
0,27,0.97177190,0.00389270,0.07635200
0,28,1.00877136,0.00407374,0.07817433
0,29,0.97062860,0.00382554,0.07723161
0,30,1.04582689,0.00423309,0.08490582
0,31,1.06669436,0.00433637,0.08766674
0,32,1.07755681,0.00441893,0.09180688
4,1,8.11330770,0.05880710,0.29403306
4,2,3.80617184,0.02888339,0.17330996
4,3,4.11708999,0.02906240,0.17437707
4,4,2.44863420,0.01456811,0.11621987
4,5,1.82194477,0.01161568,0.10431832
4,6,1.91800818,0.01168735,0.10475336
4,7,1.75853598,0.00974081,0.09709860
4,8,1.41759720,0.00738909,0.08781951
4,9,1.44667504,0.00741297,0.08829135
4,10,1.22284815,0.00594540,0.08227202
4,11,1.22061350,0.00593476,0.08238490
4,12,1.14618513,0.00537357,0.07988247
4,13,1.08801786,0.00496919,0.07844203
4,14,1.02322667,0.00461888,0.07735976
4,15,1.02180169,0.00445135,0.07718680
4,16,1.02690580,0.00439713,0.07838074
4,17,0.98143836,0.00395481,0.07583112
4,18,0.97625171,0.00394829,0.07711441
4,19,1.00160855,0.00410290,0.07881748
4,20,0.91479864,0.00356188,0.07738242
4,21,0.94619824,0.00370314,0.07867976
4,22,0.92372269,0.00349706,0.07813611
4,23,0.94101142,0.00362103,0.08161578
4,24,0.95342002,0.00365200,0.08237323
4,25,1.25583022,0.00558912,0.10732286
4,26,1.03079457,0.00403841,0.08917153
4,27,1.01982278,0.00393947,0.09064842
4,28,1.06362998,0.00427185,0.09574655
4,29,1.07933781,0.00429067,0.09611272
4,30,1.20096800,0.00509239,0.10909606
4,31,1.16623557,0.00481000,0.10455250
4,32,1.16138926,0.00477304,0.10497049
8,1,8.77155782,0.05872695,0.52867428
8,2,4.23458046,0.02889565,0.28919696
8,3,4.35463264,0.02904687,0.29051436
8,4,2.63817941,0.01454163,0.17445907
8,5,1.85298808,0.01162915,0.15097010
8,6,2.11845131,0.01177314,0.15243667
8,7,1.78268722,0.00974869,0.13602272
8,8,1.50243184,0.00735755,0.11713718
8,9,1.47431088,0.00734323,0.11677698
8,10,1.27445175,0.00593336,0.10585313
8,11,1.29106630,0.00596439,0.10652706
8,12,1.19614702,0.00537479,0.10153793
8,13,1.15100700,0.00497459,0.09842499
8,14,1.08888031,0.00467440,0.09622752
8,15,1.08973728,0.00449942,0.09559718
8,16,1.03653459,0.00412183,0.09338902
8,17,1.02228795,0.00392734,0.09121321
8,18,1.06545102,0.00420961,0.09517023
8,19,1.01896325,0.00396202,0.09406681
8,20,0.94832266,0.00363765,0.09262241
8,21,0.95534549,0.00357021,0.09123532
8,22,1.00682472,0.00381115,0.09696096
8,23,1.07223786,0.00421959,0.10368065
8,24,1.06159107,0.00401754,0.10170200
8,25,1.24900455,0.00535395,0.11911262
8,26,1.22831559,0.00522069,0.11813904
8,27,1.27611022,0.00519975,0.11739775
8,28,1.25852271,0.00510636,0.11770517
8,29,1.23980766,0.00498754,0.11493671
8,30,1.27531222,0.00527231,0.12341692
8,31,1.22549839,0.00499549,0.11803578
8,32,1.26032676,0.00501076,0.11937402
12,1,9.28094533,0.05875221,0.76361567
12,2,4.49153965,0.02893919,0.40514071
12,3,4.46237126,0.02887084,0.40373437
12,4,2.80925394,0.01464579,0.23404945
12,5,2.06270141,0.01163135,0.19738804
12,6,2.01487578,0.01160438,0.19686220
12,7,2.00241448,0.00983708,0.17660511
12,8,1.53922169,0.00735627,0.14657788
12,9,1.58648806,0.00737634,0.14675132
12,10,1.33124464,0.00595849,0.12987847
12,11,1.33296574,0.00592435,0.12974564
12,12,1.25146006,0.00540163,0.12322926
12,13,1.17804404,0.00501098,0.11849380
12,14,1.13489222,0.00465443,0.11486017
12,15,1.08849808,0.00433226,0.11106431
12,16,1.21716847,0.00491449,0.12109648
12,17,1.10605136,0.00431938,0.11211717
12,18,1.13932569,0.00437249,0.11530842
12,19,1.03254356,0.00386046,0.10842193
12,20,1.33930496,0.00550700,0.13401812
12,21,1.26736367,0.00500039,0.12923945
12,22,1.42082643,0.00585224,0.13770365
12,23,1.39317513,0.00569497,0.13789551
12,24,1.38554172,0.00574909,0.13931858
12,25,1.34611883,0.00540489,0.13385923
12,26,1.41091832,0.00590135,0.14832356
12,27,1.35787888,0.00545247,0.13668288
12,28,1.36611548,0.00543529,0.13596344
12,29,1.46978134,0.00609282,0.15042428
12,30,1.38185017,0.00556605,0.13822508
